timestamp,pursuit_control_rate,stanley_control_rate,sta_lat_rate,heading_error_deg,angular_error_deg,lat_error,pursuit_control_deg,stanley_control_deg,steer_angle_deg, feedback_steer_deg,preview_dist,preview_idx,closest_idx,target_east,target_north,target_yaw_deg,closest_east,closest_north,closest_yaw_deg,closest_curvature,cur_east,cur_north,cur_yaw_deg,curvature_feedforward,zero_point_draft,target_spd,cur_spd,error,acceleration,cmd_spd,integral
18:00:10.275,0.6,0.4,0.4,-1.92539,2.88934,-0.157418,-7.09241,-5.63741,-9.25548,-13.31,1.61242,52,35,-4.31161,16.804,16.0596,-4.76895,15.1669,15.115,-0.0111784,-4.92258,15.2019,17.985,0.2,-3,3,0.0749466,2.92505,0,0.5,0
18:00:10.375,0.6,0.4,0.4,-2.14339,2.09597,-0.138346,-5.13889,-4.60092,-7.82354,-13.31,1.61859,52,35,-4.31161,16.804,16.0596,-4.76895,15.1669,15.115,-0.0111784,-4.899,15.216,18.203,0.2,-3,3,0.0790569,2.92094,0,0.5,0
18:00:10.475,0.6,0.4,0.4,-2.31738,1.27072,-0.130087,-2.93174,-4.08744,-6.78519,-13.31,1.72342,54,36,-4.25614,16.9961,16.1476,-4.74283,15.2635,15.1785,-0.0109867,-4.87729,15.2647,18.465,0.2,-3,3,0.148946,2.85105,0,0.5,0
18:00:10.575,0.6,0.4,0.4,-2.61338,0.464854,-0.111334,-1.06925,-2.99902,-5.28519,-12.93,1.73007,54,36,-4.25614,16.9961,16.1476,-4.74283,15.2635,15.1785,-0.0109867,-4.85043,15.292,18.761,0.2,-3,3,0.153379,2.84662,0,0.5,0
18:00:10.675,0.6,0.4,0.4,-2.80554,-0.17186,-0.104652,0.367535,-2.54128,-4.4133,-11.59,1.86103,56,37,-4.20038,17.1882,16.2305,-4.7166,15.3599,15.2409,-0.0107983,-4.82518,15.3595,19.036,0.2,-3,3,0.240684,2.75932,0,0.5,0
18:00:10.775,0.6,0.4,0.4,-3.03854,-0.838589,-0.0873469,1.78051,-1.56635,-3.31289,-10.56,1.87384,56,37,-4.20038,17.1882,16.2305,-4.7166,15.3599,15.2409,-0.0107983,-4.79582,15.4014,19.269,0.2,-3,3,0.249227,2.75077,0,0.5,0
18:00:10.875,0.6,0.4,0.4,-3.14126,-1.39071,-0.0813535,2.73838,-1.21071,-2.72133,-9.71,2.01954,59,38,-4.11625,17.4761,16.3427,-4.69026,15.4564,15.3022,-0.0106087,-4.76669,15.4853,19.484,0.2,-3,3,0.34636,2.65364,0,0.5,0
18:00:10.975,0.6,0.4,0.4,-3.30377,-2.01744,-0.0653327,3.9245,-0.348894,-1.77067,-8.5,2.04235,60,39,-4.08808,17.5721,16.3772,-4.66382,15.5528,15.3624,-0.0104182,-4.73474,15.5414,19.681,0.2,-3,3,0.361565,2.63844,0,0.5,0
18:00:11.075,0.6,0.4,0.4,-3.39448,-2.2332,-0.0635396,4.09856,-0.194353,-1.61289,-7.47,2.16435,62,40,-4.03158,17.7639,16.4425,-4.63729,15.6492,15.4216,-0.0102288,-4.7076,15.6333,19.837,0.2,-3,3,0.4429,2.5571,0,0.5,0
18:00:11.175,0.6,0.4,0.4,-3.49948,-2.56659,-0.052245,4.6931,0.40624,-1.05088,-6.65,2.17101,62,40,-4.03158,17.7639,16.4425,-4.63729,15.6492,15.4216,-0.0102288,-4.67785,15.6986,19.942,0.2,-3,3,0.447343,2.55266,0,0.5,0
18:00:11.275,0.6,0.4,0.4,-3.51019,-2.5626,-0.0550561,4.47163,0.362474,-1.16235,-5.37,2.27547,64,41,-3.97487,17.9557,16.5038,-4.61065,15.7456,15.4796,-0.0100402,-4.65372,15.7962,20.014,0.2,-3,3,0.516978,2.48302,0,1,0
