east,north,yaw
3.47009429,34.64301030,-106.82201109
3.52653169,34.46982471,-109.02497301
3.56656425,34.28719555,-110.88785906
3.58910516,34.10361017,-112.64467513
3.59306762,33.92755589,-114.54380199
3.57736481,33.76752003,-116.99551437
3.53701023,33.64468448,-119.11234385
3.46951414,33.56088115,-119.19597443
3.37842671,33.50523522,-117.80387968
3.28126088,33.47642499,-115.02086202
3.22356900,33.44910997,-110.62292271
3.25263727,33.37629113,-106.43177705
3.31115411,33.27861003,-103.39627332
3.37348361,33.15508556,-101.35009065
3.41679502,33.00843657,-100.27841018
3.42554477,32.84541713,-100.29456957
3.39316297,32.68318653,-101.88458851
3.31274029,32.52861688,-104.81937241
3.19828516,32.38237855,-107.67532382
3.08004210,32.24363138,-109.73408647
2.98637665,32.10517546,-110.78781541
2.93257278,31.95644382,-111.53540874
2.92462350,31.80136194,-112.39787189
2.93923144,31.63974381,-113.01356626
2.95463005,31.47878709,-113.43727931
2.95538768,31.32498181,-113.80831362
2.93904183,31.18272888,-114.07251362
2.89653459,31.05675220,-114.17029067
2.83441166,30.94496139,-114.04664819
2.76725432,30.84107179,-113.71209722
2.69862706,30.74322357,-113.33341365
2.63190883,30.64797760,-112.85023813
2.57364661,30.55022506,-112.26511610
2.51864094,30.45102236,-111.72968330
2.46493450,30.35218984,-111.30107441
2.41228553,30.25438211,-111.02307064
2.36825528,30.15425434,-110.77258203
2.32710689,30.05527592,-110.34457652
2.28894687,29.95847920,-109.70630482
2.24943372,29.86572411,-108.96175945
2.21339878,29.77450138,-108.27594152
2.18472145,29.68225289,-107.61001180
2.16070027,29.58820218,-106.91283163
2.13987783,29.49240152,-106.27283741
2.12552533,29.39394766,-105.68528313
2.11561213,29.29308723,-105.19187390
2.11352555,29.18744460,-104.77597717
2.11423933,29.07794257,-104.34300249
2.11224563,28.96628236,-104.02093045
2.10842968,28.85201043,-103.90413569
2.09961058,28.73584787,-103.98456409
2.08095844,28.61948240,-104.15507961
2.05017020,28.50428018,-104.26331562
2.01059380,28.39043764,-104.30961050
1.96685712,28.27766265,-104.32210645
1.92655250,28.16390925,-104.32359475
1.89320153,28.04762303,-104.38296900
1.86590327,27.92801201,-104.44715424
1.84338805,27.80560728,-104.55121882
1.82076217,27.68227408,-104.74446650
1.79704759,27.55894899,-104.99711795
1.76881421,27.43717275,-105.24957681
1.73770164,27.31717897,-105.38335063
1.70232295,27.20022346,-105.40921165
1.66823950,27.08496390,-105.38457262
1.63740847,26.97033179,-105.28090848
1.60963749,26.85523181,-105.12999507
1.58585999,26.73823082,-105.02089980
1.55735651,26.62127330,-104.99445430
1.52540572,26.50442827,-105.01071235
1.49641613,26.38634639,-105.06132094
1.46664494,26.26835280,-105.11263272
1.43367771,26.15139304,-105.11816215
1.39837138,26.03567017,-105.16359049
1.36521585,25.91990547,-105.22070010
1.33373484,25.80431034,-105.22840087
1.30391513,25.68877985,-105.22673572
1.27388529,25.57405031,-105.24816358
1.23837335,25.46143489,-105.27093111
1.20570344,25.34849264,-105.21807271
1.17597225,25.23450844,-105.14347793
1.14281173,25.12103498,-105.13599751
1.11107585,25.00605560,-105.19680429
1.08129776,24.89004853,-105.36637621
1.04877249,24.77491091,-105.54552777
1.01447046,24.66080153,-105.69847911
0.98105687,24.54693785,-105.81620325
0.94407861,24.43445011,-105.80926617
0.90894274,24.32183260,-105.75723719
0.87380208,24.20934769,-105.73801563
0.84067467,24.09513225,-105.78635031
0.80364855,23.98063439,-105.86889372
0.76821042,23.86409192,-105.92959559
0.73335061,23.74640781,-106.05584743
0.69419021,23.62950299,-106.27678640
0.65066809,23.51324087,-106.49793634
0.60877202,23.39546407,-106.71662082
0.56653395,23.27703259,-106.90123933
0.53219318,23.15671243,-107.07740126
0.49835293,23.03696513,-107.31129528
0.46849511,22.91536808,-107.52556837
0.43371213,22.79494717,-107.64038892
0.40148354,22.67357884,-107.70489225
0.37194374,22.55152059,-107.85946335
0.34046341,22.43036037,-108.08731148
0.30213427,22.31146914,-108.18286773
0.26633132,22.19150975,-108.20214312
0.22439984,22.07331458,-108.20826266
0.18218838,21.95530725,-108.20585714
0.13918989,21.83738942,-108.25153432
0.09343760,21.71850902,-108.37212342
0.04327397,21.59913515,-108.51765800
-0.00595052,21.47753279,-108.61990377
-0.05356027,21.35371688,-108.80413939
-0.10278989,21.22934237,-109.11100276
-0.15558008,21.10619913,-109.40532777
-0.20110997,20.98001576,-109.71401341
-0.25056649,20.85467142,-110.05563872
