east,north,yaw
255.55126668,-64.20939729,-107.88276366
255.52074266,-64.30395992,-107.84806023
255.49044276,-64.39822878,-107.81191637
255.46034719,-64.49226463,-107.77075988
255.43043616,-64.58612821,-107.71965581
255.40068988,-64.67988028,-107.64857527
255.37107160,-64.77363371,-107.57176137
255.34158751,-64.86737023,-107.50938055
255.31221752,-64.96115102,-107.44739049
255.28294424,-65.05502925,-107.38582680
255.25375974,-65.14902865,-107.32472124
255.22468063,-65.24309553,-107.26410617
255.19572156,-65.33718184,-107.20401761
255.16687240,-65.43131738,-107.14450059
255.13813223,-65.52550305,-107.08560802
255.10950013,-65.61973982,-107.02739521
255.08097502,-65.71402864,-106.96991879
255.05255632,-65.80837057,-106.91322861
255.02424204,-65.90276618,-106.85736977
254.99603017,-65.99721597,-106.80238518
254.96791834,-66.09172032,-106.74831601
254.93990384,-66.18627950,-106.69520703
254.91198396,-66.28089381,-106.64310566
254.88415606,-66.37556351,-106.59205837
254.85641777,-66.47028884,-106.54210727
254.82876673,-66.56506998,-106.49328766
254.80120045,-66.65990695,-106.44562773
254.77371624,-66.75479969,-106.39915135
254.74631098,-66.84974801,-106.35388587
254.71898146,-66.94475173,-106.30986275
254.69172443,-67.03981071,-106.26711593
254.66453665,-67.13492481,-106.22568128
254.63741520,-67.23009386,-106.18559122
254.61035711,-67.32531758,-106.14686850
254.58335928,-67.42059545,-106.10952678
254.55641828,-67.51592674,-106.07357206
254.52953029,-67.61131053,-106.03900694
254.50269126,-67.70674580,-106.00583646
254.47589715,-67.80223154,-105.97406860
254.44916253,-67.89777198,-105.94371281
254.42244896,-67.99335625,-105.91477394
254.39574058,-68.08897974,-105.88725016
254.36903792,-68.18464233,-105.86112999
254.34235221,-68.28034679,-105.83639235
254.31570055,-68.37609743,-105.81301344
254.28910206,-68.47189910,-105.79097079
254.26257448,-68.56775627,-105.77024642
254.23613182,-68.66367234,-105.75082565
254.20978230,-68.75964907,-105.73269205
254.18352677,-68.85568604,-105.71582542
254.15731113,-68.95176721,-105.70019789
254.13111552,-69.04788621,-105.68577539
254.10492159,-69.14403716,-105.67252329
254.07871220,-69.24021453,-105.66041151
254.05249226,-69.33641908,-105.64941784
254.02623203,-69.43264193,-105.63952480
253.99986736,-69.52886457,-105.63071503
253.97336537,-69.62507714,-105.62296438
253.94672062,-69.72127729,-105.61623845
253.91995105,-69.81746906,-105.61049596
253.89312308,-69.91366994,-105.60569157
253.86625860,-70.00988503,-105.60178220
253.83938419,-70.10612077,-105.59873186
253.81252823,-70.20238418,-105.59651126
253.78571838,-70.29868212,-105.59509420
253.75892616,-70.39500572,-105.59445065
253.73210442,-70.49134080,-105.59454464
253.70524261,-70.58768339,-105.59533212
253.67834237,-70.68403282,-105.59676718
253.65142040,-70.78039265,-105.59880699
253.62451102,-70.87677141,-105.60141307
253.59759304,-70.97316222,-105.60455288
253.57066586,-71.06956395,-105.60819517
253.54372888,-71.16597548,-105.61230785
253.51678161,-71.26239568,-105.61685413
253.48982360,-71.35882346,-105.62179315
253.46285446,-71.45525778,-105.62708670
253.43587384,-71.55169772,-105.63270100
253.40888138,-71.64814253,-105.63861202
253.38187675,-71.74459159,-105.64480524
253.35485958,-71.84104437,-105.65126858
253.32782952,-71.93750039,-105.65799024
253.30078626,-72.03395920,-105.66495622
253.27372948,-72.13042031,-105.67214921
253.24665891,-72.22688329,-105.67955146
253.21957429,-72.32334782,-105.68714968
253.19247532,-72.41981365,-105.69493854
253.16538230,-72.51628646,-105.70291932
253.13825837,-72.61275586,-105.71109686
253.11108676,-72.70921715,-105.71947565
253.08386669,-72.80567010,-105.72805459
253.05660947,-72.90211788,-105.73682896
253.02937505,-72.99857741,-105.74579460
253.00215909,-73.09504753,-105.75495166
252.97493390,-73.19152055,-105.76430603
252.94767260,-73.28798915,-105.77386967
252.92035195,-73.38444707,-105.78365904
252.89295466,-73.48088978,-105.79369168
252.86541972,-73.57730041,-105.80398245
252.83773831,-73.67367683,-105.81454368
252.80992487,-73.77002350,-105.82538809
252.78201966,-73.86635227,-105.83653156
252.75409109,-73.96268310,-105.84799794
252.72613584,-74.05901577,-105.85981812
252.69815778,-74.15535221,-105.87202581
252.67016953,-74.25169686,-105.88465445
252.64218453,-74.34805441,-105.89773622
252.61421672,-74.44442969,-105.91130069
252.58631407,-74.54083726,-105.92537561
252.55846586,-74.63727490,-105.93998998
252.53065458,-74.73373843,-105.95517374
252.50285790,-74.83022222,-105.97095658
252.47505110,-74.92671985,-105.98736569
252.44720979,-75.02322485,-106.00442210
252.41931335,-75.11973161,-106.02213843
252.39134870,-75.21623652,-106.04051786
252.36331445,-75.31273919,-106.05955952
252.33522534,-75.40924373,-106.07925881
252.30711765,-75.50576046,-106.09961285
252.27897099,-75.60228344,-106.12062241
252.25078468,-75.69881241,-106.14228734
252.22255780,-75.79534704,-106.16460741
252.19428932,-75.89188696,-106.18758137
252.16597824,-75.98843177,-106.21120595
252.13762388,-76.08498117,-106.23547535
252.10922583,-76.18153490,-106.26038500
252.08078398,-76.27809278,-106.28593088
252.05229829,-76.37465460,-106.31210747
252.02376893,-76.47122016,-106.33890933
251.99519578,-76.56778902,-106.36632475
251.96657898,-76.66436069,-106.39433385
251.93791865,-76.76093454,-106.42291165
251.90921515,-76.85750987,-106.45202759
251.88046883,-76.95408595,-106.48164780
251.85168019,-77.05066205,-106.51173959
251.82284960,-77.14723744,-106.54227330
251.79397713,-77.24381127,-106.57321904
251.76506264,-77.34038263,-106.60454757
251.73610582,-77.43695052,-106.63622705
251.70710612,-77.53351379,-106.66822014
251.67806337,-77.63007136,-106.70048687
251.64897748,-77.72662218,-106.73298692
251.61984846,-77.82316523,-106.76568135
251.59067640,-77.91969954,-106.79853403
251.56146142,-78.01622424,-106.83151234
251.53220335,-78.11273838,-106.86458555
251.50290202,-78.20924098,-106.89772151
251.47355733,-78.30573107,-106.93088585
251.44416928,-78.40220771,-106.96404183
251.41473807,-78.49866999,-106.99715074
251.38526435,-78.59511716,-107.03017539
251.35574866,-78.69154848,-107.06308352
251.32619152,-78.78796326,-107.09584541
251.29659341,-78.88436080,-107.12843173
251.26695456,-78.98074028,-107.16081296
251.23727516,-79.07710087,-107.19295606
251.20755547,-79.17344168,-107.22482396
251.17779589,-79.26976189,-107.25637874
251.14799696,-79.36606078,-107.28758586
251.11815917,-79.46233767,-107.31841395
251.08828306,-79.55859202,-107.34883862
251.05836880,-79.65482324,-107.37884116
251.02841636,-79.75103075,-107.40840228
250.99842557,-79.84721392,-107.43750315
250.96839629,-79.94337216,-107.46612292
250.93832848,-80.03950491,-107.49423931
250.90822229,-80.13561176,-107.52183332
250.87807810,-80.23169244,-107.54889098
250.84789631,-80.32774683,-107.57540529
250.81767722,-80.42377487,-107.60137397
250.78742124,-80.51977659,-107.62679729
250.75712850,-80.61575197,-107.65167523
250.72679938,-80.71170105,-107.67600551
250.69643442,-80.80762394,-107.69978419
250.66603430,-80.90352078,-107.72300734
250.63559996,-80.99939182,-107.74567413
250.60513236,-81.09523736,-107.76778568
250.57463253,-81.19105775,-107.78934542
250.54410141,-81.28685328,-107.81035735
250.51353979,-81.38262423,-107.83082304
250.48294853,-81.47837082,-107.85074150
250.45234810,-81.57409966,-107.87010971
250.42170304,-81.66979922,-107.88892523
250.39099959,-81.76546502,-107.90718837
250.36024041,-81.86109793,-107.92490266
250.32943964,-81.95670260,-107.94207380
250.29861854,-82.05228601,-107.95870627
250.26780188,-82.14785628,-107.97480399
250.23701440,-82.24342156,-107.99036997
250.20627817,-82.33898914,-108.00540643
250.17561014,-82.43456469,-108.01991736
250.14502006,-82.53015160,-108.03390955
250.11445902,-82.62573429,-108.04739239
250.08391177,-82.72130809,-108.06037881
250.05336359,-82.81686852,-108.07288158
250.02280022,-82.91241124,-108.08491243
249.99221711,-83.00793504,-108.09648144
249.96161481,-83.10344040,-108.10759721
249.93092394,-83.19890478,-108.11826932
249.90010405,-83.29431510,-108.12850625
249.86914131,-83.38966697,-108.13831547
249.83804554,-83.48496372,-108.14770337
249.80687881,-83.58022576,-108.15667346
249.77565916,-83.67545900,-108.16522617
249.74441066,-83.77067126,-108.17335900
249.71316093,-83.86587142,-108.18106651
249.68193840,-83.96106851,-108.18833943
249.65074624,-84.05626318,-108.19516355
249.61952537,-84.15143551,-108.20152034
249.58826522,-84.24658135,-108.20738478
249.55696755,-84.34170048,-108.21272709
249.52565014,-84.43679791,-108.21751570
249.49435067,-84.53188522,-108.22171875
249.46304970,-84.62695526,-108.22530775
249.43174848,-84.72200779,-108.22826054
249.40044823,-84.81704267,-108.23055818
249.36915020,-84.91205987,-108.23218594
249.33787683,-85.00706642,-108.23313081
249.30659288,-85.10205037,-108.23338041
249.27528173,-85.19700594,-108.23292276
249.24394235,-85.29193245,-108.23174574
249.21258628,-85.38683333,-108.22983614
249.18126581,-85.48172533,-108.22717716
249.15000453,-85.57661564,-108.22375129
249.11877405,-85.67149428,-108.21953493
249.08754563,-85.76635102,-108.21449849
249.05629299,-85.86117642,-108.20861156
249.02499513,-85.95596272,-108.20184102
248.99358540,-86.05068716,-108.19415482
248.96204801,-86.14534377,-108.18552322
248.93039126,-86.23993456,-108.17591928
248.89865166,-86.33447090,-108.16531800
248.86689776,-86.42897473,-108.15369544
248.83515453,-86.52345375,-108.14103095
248.80341939,-86.61790660,-108.12730465
248.77171025,-86.71233872,-108.11249961
248.74004646,-86.80675604,-108.09660108
248.70844879,-86.90116494,-108.07959544
248.67697340,-86.99558323,-108.06146870
248.64561866,-87.09000992,-108.04220489
