east,north,yaw
252.74314942,-63.30356357,-107.88276366
252.71214022,-63.39928040,-107.84806023
252.68111980,-63.49535951,-107.81191637
252.65010697,-63.59173964,-107.77075988
252.61912054,-63.68835949,-107.71965581
252.58817933,-63.78515777,-107.64857527
252.55731925,-63.88202113,-107.57176137
252.52653318,-63.97896731,-107.50938055
252.49584003,-64.07593454,-107.44739049
252.46525589,-64.17286902,-107.38582680
252.43478727,-64.26974638,-107.32472124
252.40441603,-64.36661963,-107.26410617
252.37412591,-64.46353611,-107.20401761
252.34392525,-64.56046530,-107.14450059
252.31381304,-64.65740552,-107.08560802
252.28378807,-64.75435495,-107.02739521
252.25384913,-64.85131176,-106.96991879
252.22399427,-64.94827396,-106.91322861
252.19422284,-65.04524002,-106.85736977
252.16453404,-65.14220841,-106.80238518
252.13492728,-65.23917770,-106.74831601
252.10540222,-65.33614655,-106.69520703
252.07595830,-65.43311353,-106.64310566
252.04659475,-65.53007721,-106.59205837
252.01731038,-65.62703615,-106.54210727
251.98810387,-65.72398892,-106.49328766
251.95897390,-65.82093422,-106.44562773
251.92991927,-65.91787086,-106.39915135
251.90093916,-66.01479771,-106.35388587
251.87203268,-66.11171362,-106.30986275
251.84319890,-66.20861739,-106.26711593
251.81443678,-66.30550777,-106.22568128
251.78574482,-66.40238352,-106.18559122
251.75712143,-66.49924349,-106.14686850
251.72856516,-66.59608676,-106.10952678
251.70007482,-66.69291260,-106.07357206
251.67164959,-66.78972050,-106.03900694
251.64328890,-66.88651004,-106.00583646
251.61499211,-66.98328078,-105.97406860
251.58673997,-67.08002705,-105.94371281
251.55856617,-67.17675828,-105.91477394
251.53048187,-67.27347763,-105.88725016
251.50248179,-67.37018379,-105.86112999
251.47455005,-67.46687259,-105.83639235
251.44666497,-67.56353834,-105.81301344
251.41880291,-67.66017483,-105.79097079
251.39094173,-67.75677629,-105.77024642
251.36306300,-67.85333800,-105.75082565
251.33515418,-67.94985692,-105.73269205
251.30721014,-68.04633221,-105.71582542
251.27928076,-68.14277867,-105.70019789
251.25138182,-68.23920146,-105.68577539
251.22352768,-68.33560533,-105.67252329
251.19573162,-68.43199466,-105.66041151
251.16798495,-68.52836760,-105.64941784
