east,north,yaw
119.41206196,11.56693141,-13.76851665
119.50941152,11.54320172,-13.82634941
119.60678307,11.51927239,-13.88620306
119.70416317,11.49514973,-13.95393648
119.80153839,11.47084004,-14.03756921
119.89889530,11.44634962,-14.15334056
119.99620835,11.42168775,-14.27713369
120.09348220,11.39685630,-14.37582474
120.19070359,11.37186152,-14.47284140
120.28786135,11.34670919,-14.56818310
120.38495122,11.32140342,-14.66184887
120.48198659,11.29594389,-14.75383811
120.57897927,11.27033060,-14.84414988
120.67592344,11.24456805,-14.93278326
120.77281990,11.21865910,-15.01973830
120.86966945,11.19260660,-15.10501359
120.96647290,11.16641341,-15.18860883
121.06323109,11.14008249,-15.27052379
121.15994480,11.11361664,-15.35075693
121.25661484,11.08701871,-15.42930812
121.35324202,11.06029156,-15.50617742
121.44982714,11.03343802,-15.58136457
121.54637100,11.00646095,-15.65486886
121.64287441,10.97936320,-15.72669019
121.73933818,10.95214762,-15.79682788
121.83576312,10.92481706,-15.86528187
121.93215002,10.89737435,-15.93205238
122.02849969,10.86982236,-15.99713899
122.12481294,10.84216392,-16.06054138
122.22109058,10.81440189,-16.12225985
122.31733340,10.78653910,-16.18229442
122.41354222,10.75857841,-16.24064447
122.50971783,10.73052265,-16.29731004
122.60586106,10.70237467,-16.35229047
122.70197269,10.67413731,-16.40558604
122.79805377,10.64581423,-16.45719750
122.89410451,10.61740622,-16.50712439
122.99012584,10.58891658,-16.55536666
123.08611871,10.56034861,-16.60192448
123.18208405,10.53170562,-16.64679839
123.27802257,10.50299134,-16.68998820
123.37393543,10.47420824,-16.73149347
123.46982450,10.44535896,-16.77131418
123.56569072,10.41644664,-16.80945010
123.66153425,10.38747470,-16.84590236
123.75735463,10.35844671,-16.88188688
123.85314896,10.32936021,-16.91617456
123.94891819,10.30022370,-16.94629810
124.04466305,10.27104471,-16.97228296
124.14038459,10.24183034,-16.99430699
124.23608442,10.21258690,-17.01271210
124.33176640,10.18331817,-17.02801146
124.42743510,10.15402727,-17.04089269
124.52309293,10.12471665,-17.05222049
124.61874126,10.09538733,-17.06303648
124.71438028,10.06603869,-17.07455775
124.81000883,10.03666795,-17.08510073
124.90562825,10.00728016,-17.09329284
125.00123844,9.97787784,-17.10012495
125.09683946,9.94846386,-17.10565597
125.19243197,9.91904122,-17.10994649
125.28801796,9.88961321,-17.11305587
125.38359889,9.86018214,-17.11504504
125.47917539,9.83075029,-17.11597410
125.57474827,9.80131958,-17.11590280
125.67031822,9.77189147,-17.11489176
125.76588575,9.74246689,-17.11300093
125.86145133,9.71304665,-17.11028962
125.95701552,9.68363181,-17.10681641
126.05257891,9.65422360,-17.10264104
126.14814217,9.62482339,-17.09782270
126.24370601,9.59543277,-17.09241870
126.33927079,9.56605223,-17.08648737
126.43483698,9.53668254,-17.08008559
126.53040500,9.50732438,-17.07326940
126.62597525,9.47797833,-17.06609434
126.72154809,9.44864488,-17.05861511
126.81712385,9.41932444,-17.05088575
126.91270285,9.39001732,-17.04295869
127.00828534,9.36072375,-17.03488616
127.10387158,9.33144387,-17.02671988
127.19946177,9.30217775,-17.01850879
127.29505610,9.27292536,-17.01030156
127.39065473,9.24368660,-17.00214629
127.48625777,9.21446131,-16.99408875
127.58186533,9.18524923,-16.98617407
127.67747747,9.15605003,-16.97844593
127.77309423,9.12686334,-16.97094623
127.86871563,9.09768868,-16.96371477
127.96434165,9.06852555,-16.95679006
128.05997225,9.03937335,-16.95020879
128.15560737,9.01023145,-16.94400497
128.25124691,8.98109916,-16.93821145
128.34689079,8.95197573,-16.93285882
