east,north,yaw
158.35807257,21.13057095,-106.46878249
158.33039170,21.03437505,-106.47658452
158.30266349,20.93811886,-106.48452553
158.27488722,20.84181927,-106.49335715
158.24706214,20.74549318,-106.50407874
158.21918754,20.64915746,-106.51869356
158.19126515,20.55284189,-106.53379210
158.16330566,20.45654043,-106.54506595
158.13531276,20.36026774,-106.55565411
158.10722771,20.26405421,-106.56555687
158.07901726,20.16791465,-106.57477358
158.05066806,20.07183901,-106.58330480
158.02218954,19.97581290,-106.59115064
157.99364604,19.87982436,-106.59831089
157.96505572,19.78386805,-106.60478528
157.93644261,19.68793684,-106.61057423
157.90783465,19.59202244,-106.61567783
157.87926482,19.49611505,-106.62009579
157.85072647,19.40021665,-106.62382873
157.82216485,19.30434359,-106.62687600
157.79357025,19.20849879,-106.62923735
157.76494512,19.11268155,-106.63091363
157.73630754,19.01688650,-106.63190440
157.70769446,18.92110264,-106.63220983
157.67908651,18.82533575,-106.63182942
157.65050550,18.72957935,-106.63076305
157.62191651,18.63384390,-106.62901172
157.59330373,18.53813411,-106.62657525
157.56466696,18.44245007,-106.62345331
157.53601832,18.34678817,-106.61964558
157.50741532,18.25113130,-106.61515246
157.47886550,18.15547724,-106.60997461
157.45034176,18.05983409,-106.60411082
157.42181724,17.96420984,-106.59756115
157.39326820,17.86861158,-106.59032609
157.36466485,17.77304816,-106.58240545
157.33597570,17.67752898,-106.57380007
157.30718245,17.58205946,-106.56450907
157.27829057,17.48663792,-106.55453191
157.24933303,17.39125450,-106.54386951
157.22037351,17.29589084,-106.53252203
157.19141627,17.20054484,-106.52048923
157.16246002,17.10521495,-106.50777033
157.13351898,17.00989686,-106.49436549
157.10461035,16.91458695,-106.48027578
157.07575441,16.81928180,-106.46578303
157.04703655,16.72395945,-106.45059755
157.01844003,16.62862819,-106.43414766
156.98995551,16.53329363,-106.41644798
156.96156752,16.43796211,-106.39754680
156.93325702,16.34263947,-106.37752925
156.90500290,16.24732674,-106.35651750
156.87678656,16.15202269,-106.33467066
156.84859694,16.05672724,-106.31218585
156.82043425,15.96143806,-106.28929876
156.79231506,15.86614926,-106.26628343
156.76429668,15.77084424,-106.24273746
156.73633371,15.67553730,-106.21833959
156.70842254,15.58023106,-106.19332235
156.68055963,15.48492799,-106.16769883
156.65274211,15.38962938,-106.14148429
156.62496779,15.29433411,-106.11469370
156.59723661,15.19904093,-106.08734248
156.56955145,15.10374910,-106.05944507
156.54191839,15.00845646,-106.03101660
156.51434751,14.91315971,-106.00207327
156.48685369,14.81785414,-105.97262998
156.45940939,14.72254733,-105.94270322
156.43202458,14.62723601,-105.91230867
156.40469973,14.53191963,-105.88146176
156.37743551,14.43659762,-105.85017815
156.35023244,14.34126945,-105.81847307
156.32309102,14.24593459,-105.78636256
156.29601173,14.15059252,-105.75386164
156.26899501,14.05524276,-105.72098519
156.24204124,13.95988484,-105.68774737
156.21515076,13.86451830,-105.65416240
156.18832383,13.76914275,-105.62024531
156.16156084,13.67375774,-105.58600935
156.13486195,13.57836293,-105.55146673
156.10822742,13.48295792,-105.51663001
156.08165733,13.38754243,-105.48151068
156.05515186,13.29211614,-105.44612096
156.02871116,13.19667876,-105.41047209
156.00233532,13.10123005,-105.37457267
155.97602432,13.00576979,-105.33843142
155.94977798,12.91029786,-105.30205723
155.92359666,12.81481400,-105.26545798
155.89748067,12.71931800,-105.22864008
155.87143002,12.62380974,-105.19160819
155.84544465,12.52828915,-105.15436699
155.81952432,12.43275626,-105.11692059
155.79366865,12.33721114,-105.07927239
155.76787724,12.24165386,-105.04142319
155.74214945,12.14608457,-105.00337213
155.71648459,12.05050350,-104.96511943
155.69088206,11.95491093,-104.92666909
155.66534183,11.85930710,-104.88801774
155.63986372,11.76369239,-104.84914925
155.61444757,11.66806728,-104.81004531
155.58909335,11.57243233,-104.77068661
155.56380110,11.47678811,-104.73105295
155.53857099,11.38113514,-104.69112472
155.51340327,11.28547382,-104.65088273
155.48829815,11.18980454,-104.61031092
155.46325608,11.09412762,-104.56939728
155.43827757,10.99844337,-104.52813297
155.41336358,10.90275202,-104.48650138
155.38851469,10.80705395,-104.44447810
155.36373139,10.71134961,-104.40204177
155.33901411,10.61563955,-104.35917016
155.31436336,10.51992432,-104.31583985
155.28977954,10.42420451,-104.27202709
155.26526317,10.32848068,-104.22770656
155.24081473,10.23275343,-104.18285320
155.21643499,10.13702333,-104.13744021
155.19212492,10.04129088,-104.09143999
155.16788585,9.94555654,-104.04482529
155.14371866,9.84982087,-103.99756752
155.11962452,9.75408441,-103.94963765
155.09560458,9.65834768,-103.90100718
155.07166016,9.56261117,-103.85164735
155.04779268,9.46687537,-103.80152851
155.02400360,9.37114075,-103.75062113
155.00029446,9.27540776,-103.69889587
154.97666691,9.17967684,-103.64632375
154.95312269,9.08394838,-103.59287589
154.92966360,8.98822278,-103.53852377
154.90629152,8.89250039,-103.48323975
154.88300851,8.79678150,-103.42699574
154.85981652,8.70106644,-103.36976542
154.83671780,8.60535542,-103.31152410
154.81371461,8.50964865,-103.25224620
154.79080924,8.41394630,-103.19190781
154.76800411,8.31824849,-103.13048648
154.74530169,8.22255528,-103.06796235
154.72270457,8.12686669,-103.00431590
154.70021536,8.03118268,-102.93952903
154.67783677,7.93550317,-102.87358735
154.65557163,7.83982796,-102.80647645
154.63342268,7.74415689,-102.73818507
154.61139293,7.64848963,-102.66870542
154.58948534,7.55282584,-102.59802974
154.56770285,7.45716512,-102.52615406
154.54604855,7.36150697,-102.45307783
154.52452549,7.26585083,-102.37880327
154.50313678,7.17019607,-102.30333547
154.48188549,7.07454197,-102.22668255
154.46077480,6.97888772,-102.14885722
154.43980782,6.88323246,-102.06987455
154.41898766,6.78757525,-101.98975369
154.39831751,6.69191503,-101.90851781
154.37780051,6.59625068,-101.82619265
154.35743969,6.50058101,-101.74280915
154.33723821,6.40490472,-101.65840204
154.31719910,6.30922042,-101.57300923
154.29732538,6.21352662,-101.48667525
154.27762003,6.11782173,-101.39944886
154.25808604,6.02210405,-101.31138218
154.23872622,5.92637180,-101.22253374
154.21954342,5.83062307,-101.13296696
154.20054035,5.73485584,-101.04274986
154.18171968,5.63906800,-100.95195610
154.16308385,5.54325733,-100.86066472
154.14463534,5.44742147,-100.76896011
154.12637643,5.35155798,-100.67693209
154.10830918,5.25566428,-100.58467747
154.09043571,5.15973768,-100.49229785
154.07275781,5.06377536,-100.39989954
154.05527713,4.96777440,-100.30759670
154.03799526,4.87173173,-100.21550851
154.02091340,4.77564418,-100.12376028
