east,north,yaw
123.16003748,24.80814567,-110.64948401
123.12362449,24.71520808,-110.65675795
123.08735674,24.62228223,-110.66410908
123.05122467,24.52935534,-110.67222475
123.01521868,24.43641463,-110.68200517
122.97932921,24.34344732,-110.69524569
122.94352345,24.25043622,-110.70870755
122.90783982,24.15736899,-110.71843593
122.87228147,24.06422916,-110.72734884
122.83683273,23.97101049,-110.73544687
122.80146463,23.87771958,-110.74273013
122.76611184,23.78439484,-110.74919812
122.73075834,23.69105335,-110.75485046
122.69538261,23.59769646,-110.75968782
122.65996696,23.50433091,-110.76371073
122.62449622,23.41096247,-110.76691816
122.58898798,23.31758455,-110.76931036
122.55349308,23.22417793,-110.77088764
122.51800142,23.13074648,-110.77164958
122.48254819,23.03727688,-110.77159669
122.44713489,22.94376865,-110.77072894
122.41172928,22.85023403,-110.76904652
122.37634250,22.75666886,-110.76654882
122.34092219,22.66309303,-110.76323611
122.30545842,22.56951033,-110.75910929
122.26998086,22.47590956,-110.75416697
122.23451910,22.38227959,-110.74840968
122.19909992,22.28861034,-110.74183821
122.16374459,22.19489382,-110.73445136
122.12851819,22.10110547,-110.72624941
122.09343560,22.00723976,-110.71723276
122.05848831,21.91330001,-110.70740133
122.02364070,21.81929982,-110.69675437
121.98882694,21.72526423,-110.68529262
121.95403510,21.63119782,-110.67301645
121.91926250,21.53710167,-110.65992479
121.88450301,21.44297818,-110.64601819
121.84974265,21.34883269,-110.63129723
121.81496403,21.25467178,-110.61576098
121.78011452,21.16051521,-110.59940969
121.74519739,21.06636199,-110.58224364
121.71022321,20.97220797,-110.56426223
121.67520843,20.87804624,-110.54546593
121.64017397,20.78386857,-110.52585467
121.60514282,20.68966663,-110.50542753
121.57013725,20.59543313,-110.48408996
121.53518500,20.50115949,-110.46189510
121.50029316,20.40684506,-110.43905526
121.46545379,20.31249487,-110.41567263
121.43063675,20.21812180,-110.39179470
121.39586561,20.12371776,-110.36741717
121.36114407,20.02927962,-110.34248595
121.32647478,19.93480275,-110.31689823
121.29186011,19.84028258,-110.29050578
121.25730223,19.74571481,-110.26312137
121.22280339,19.65109575,-110.23452549
121.18837207,19.55642032,-110.20471375
121.15400307,19.46168925,-110.17376492
121.11969275,19.36690367,-110.14163660
121.08543738,19.27206541,-110.10831657
121.05123335,19.17717640,-110.07380061
121.01707768,19.08223778,-110.03809047
120.98296843,18.98725020,-110.00119088
120.94890568,18.89221394,-109.96310763
120.91489160,18.79712841,-109.92384548
120.88093099,18.70199204,-109.88340734
120.84703159,18.60680212,-109.84179343
120.81318887,18.51156038,-109.79900189
120.77940456,18.41626628,-109.75503106
120.74567940,18.32091971,-109.70988107
120.71201383,18.22552080,-109.66355668
120.67840810,18.13006998,-109.61607199
120.64486243,18.03456796,-109.56745157
120.61137691,17.93901572,-109.51773064
120.57795166,17.84341450,-109.46695496
120.54458695,17.74776567,-109.41517703
120.51128314,17.65207067,-109.36245363
120.47804088,17.55633092,-109.30884338
120.44486101,17.46054776,-109.25440482
120.41174466,17.36472247,-109.19919633
120.37869298,17.26885626,-109.14327653
120.34570735,17.17295029,-109.08670353
120.31278902,17.07700576,-109.02953756
120.27993901,16.98102401,-108.97183994
120.24715828,16.88500640,-108.91367290
120.21444757,16.78895446,-108.85510161
120.18180692,16.69287002,-108.79619349
120.14923774,16.59675449,-108.73701876
120.11674142,16.50060938,-108.67765044
120.08431932,16.40443625,-108.61816481
120.05197234,16.30823684,-108.55863760
120.01970127,16.21201292,-108.49914366
119.98750632,16.11576638,-108.43975860
119.95538718,16.01949910,-108.38055171
119.92334332,15.92321286,-108.32158803
119.89137383,15.82690952,-108.26293001
119.85947772,15.73059099,-108.20461985
119.82765552,15.63425881,-108.14670788
119.79590752,15.53791479,-108.08927285
119.76423407,15.44156093,-108.03240225
119.73263550,15.34519946,-107.97618608
119.70111241,15.24883261,-107.92071435
119.66966521,15.15246249,-107.86607282
119.63829424,15.05609081,-107.81233383
119.60700019,14.95971887,-107.75955560
119.57578366,14.86334765,-107.70777630
119.54464565,14.76697775,-107.65700921
119.51358830,14.67060920,-107.60727517
119.48261278,14.57424226,-107.55860704
119.45171984,14.47787726,-107.51102765
119.42090972,14.38151466,-107.46455392
119.39018233,14.28515498,-107.41919904
119.35953700,14.18879881,-107.37497246
119.32897271,14.09244666,-107.33187814
119.29848844,13.99609895,-107.28991637
119.26808319,13.89975601,-107.24908375
119.23775652,13.80341787,-107.20937386
119.20750883,13.70708422,-107.17077596
119.17733949,13.61075492,-107.13327500
119.14724812,13.51442969,-107.09685212
119.11723440,13.41810807,-107.06148358
119.08729818,13.32178943,-107.02714099
119.05743931,13.22547301,-106.99379211
119.02765772,13.12915788,-106.96139865
118.99795349,13.03284288,-106.92991630
118.96832680,12.93652673,-106.89929576
118.93877787,12.84020795,-106.86948176
118.90930701,12.74388487,-106.84041482
118.87991453,12.64755569,-106.81203005
118.85060068,12.55121847,-106.78425654
118.82136586,12.45487110,-106.75701810
118.79221033,12.35851132,-106.73023327
118.76313454,12.26213670,-106.70381644
118.73413881,12.16574472,-106.67767667
118.70522369,12.06933267,-106.65171817
118.67638973,11.97289773,-106.62584206
118.64763751,11.87643698,-106.59994579
118.61896783,11.77994734,-106.57392484
118.59038153,11.68342561,-106.54767126
118.56187963,11.58686844,-106.52107155
118.53346343,11.49027230,-106.49400941
118.50513441,11.39363348,-106.46636352
118.47689448,11.29694806,-106.43800871
118.44874564,11.20021198,-106.40881682
118.42069007,11.10342103,-106.37865542
118.39273002,11.00657086,-106.34738901
118.36486757,10.90965707,-106.31487562
118.33710470,10.81267517,-106.28096925
118.30944304,10.71562070,-106.24552061
118.28188397,10.61848916,-106.20837580
118.25442890,10.52127608,-106.16937985
118.22707918,10.42397705,-106.12837711
118.19983662,10.32658761,-106.08521613
118.17270327,10.22910341,-106.03975316
118.14568171,10.13152012,-105.99184907
