east,north,yaw
125.95447023,23.75499084,-110.64948401
125.92041901,23.66086527,-110.65675795
125.88617517,23.56674289,-110.66410908
125.85175099,23.47263554,-110.67222475
125.81715872,23.37855507,-110.68200517
125.78241064,23.28451334,-110.69524569
125.74754223,23.19052660,-110.70870755
125.71251777,23.09660626,-110.71843593
125.67733679,23.00276787,-110.72734884
125.64201766,22.90901675,-110.73544687
125.60659203,22.81534536,-110.74273013
125.57112793,22.72171436,-110.74919812
125.53564405,22.62810575,-110.75485046
125.50016463,22.53451725,-110.75968782
125.46471002,22.44094120,-110.76371073
125.42929810,22.34737088,-110.76691816
125.39391397,22.25381198,-110.76931036
125.35850945,22.16028277,-110.77088764
125.32309737,22.06677846,-110.77164958
125.28764519,21.97331144,-110.77159669
125.25215415,21.87988127,-110.77072894
125.21665912,21.78647477,-110.76904652
125.18115169,21.69309518,-110.76654882
125.14568691,21.59972168,-110.76323611
125.11027738,21.50634955,-110.75910929
125.07489612,21.41298906,-110.75416697
125.03951625,21.31965042,-110.74840968
125.00411365,21.22634279,-110.74183821
124.96866977,21.13307320,-110.73445136
124.93312220,21.03986531,-110.72624941
124.89745875,20.94672373,-110.71723276
124.86169063,20.85364419,-110.70740133
124.82585615,20.76061216,-110.69675437
124.79002382,20.66760169,-110.68529262
124.75420826,20.57460725,-110.67301645
124.71841484,20.48162686,-110.65992479
124.68265239,20.38865716,-110.64601819
124.64693757,20.29569192,-110.63129723
124.61129045,20.20272359,-110.61576098
124.57576637,20.10973151,-110.59940969
124.54036474,20.01671574,-110.58224364
124.50507769,19.92367950,-110.56426223
124.46989143,19.83062876,-110.54546593
124.43478776,19.73757084,-110.52585467
124.39974636,19.64451313,-110.50542753
124.36474767,19.55146199,-110.48408996
124.32976732,19.45842506,-110.46189510
124.29480050,19.36540197,-110.43905526
124.25985700,19.27238687,-110.41567263
124.22496854,19.17936610,-110.39179470
124.19011310,19.08634704,-110.36741717
124.15528861,18.99333204,-110.34248595
124.12049435,18.90032499,-110.31689823
124.08573029,18.80732958,-110.29050578
124.05099723,18.71434911,-110.26312137
124.01629656,18.62138616,-110.23452549
123.98162426,18.52844453,-110.20471375
123.94698915,18.43552213,-110.17376492
123.91239873,18.34261651,-110.14163660
123.87786067,18.24972454,-110.10831657
123.84338254,18.15684297,-110.07380061
123.80897128,18.06396934,-110.03809047
123.77463278,17.97110171,-110.00119088
123.74037092,17.87823851,-109.96310763
123.70618742,17.78537905,-109.92384548
123.67208141,17.69252363,-109.88340734
123.63804903,17.59967371,-109.84179343
123.60409876,17.50682631,-109.79900189
123.57023276,17.41398073,-109.75503106
123.53645424,17.32113585,-109.70988107
123.50276667,17.22829028,-109.66355668
123.46917371,17.13544241,-109.61607199
123.43567897,17.04259033,-109.56745157
123.40228613,16.94973191,-109.51773064
123.36899864,16.85686482,-109.46695496
123.33581970,16.76398666,-109.41517703
123.30275219,16.67109500,-109.36245363
123.26979854,16.57818753,-109.30884338
123.23696078,16.48526204,-109.25440482
123.20424047,16.39231651,-109.19919633
