east,north,yaw
-8.75863825,3.05713169,79.52976887
-8.74126056,3.15809084,79.40522679
-8.72330486,3.26009828,79.27633530
-8.70481501,3.36293452,79.13047530
-8.68583487,3.46638006,78.95036873
-8.66640829,3.57021540,78.70101139
-8.64661202,3.67403243,78.43439796
-8.62644447,3.77789444,78.22197071
-8.60594573,3.88158344,78.01321355
-8.58515173,3.98491363,77.80813586
-8.56407951,4.08780652,77.60674734
-8.54269292,4.19045768,77.40905586
-8.52095980,4.29303893,77.21507030
-8.49890519,4.39544808,77.02479836
-8.47653501,4.49768628,76.83824627
-8.45385675,4.59975501,76.65542096
-8.43087937,4.70165613,76.47632801
-8.40762061,4.80339346,76.30097276
-8.38408188,4.90496727,76.12936050
-8.36027017,5.00637900,75.96149572
-8.33619248,5.10763016,75.79738248
-8.31185583,5.20872223,75.63702434
-8.28726716,5.30965673,75.48042512
-8.26243356,5.41043519,75.32758705
-8.23736191,5.51105910,75.17851258
-8.21205921,5.61153000,75.03320500
-8.18653248,5.71184944,74.89166530
-8.16078858,5.81201894,74.75389541
-8.13483452,5.91204005,74.61989741
-8.10867720,6.01191432,74.48967174
-8.08232361,6.11164332,74.36321944
-8.05578061,6.21122858,74.24054169
-8.02905511,6.31067168,74.12163877
-8.00215408,6.40997418,74.00651066
-7.97508431,6.50913764,73.89515799
-7.94796380,6.60819693,73.78758140
-7.92051245,6.70706768,73.68377947
-7.89280712,6.80577216,73.58375258
-7.86492457,6.90433282,73.48750095
-7.83693791,7.00277117,73.39502377
-7.80891544,7.10110125,73.30632013
-7.78091188,7.19934733,73.22138945
-7.75298410,7.29754531,73.14023196
-7.72512595,7.39569361,73.06284639
-7.69734563,7.49378027,72.98923192
-7.66965338,7.59178321,72.91662352
-7.64176123,7.68958360,72.84786616
-7.61383655,7.78720077,72.78856284
-7.58590294,7.88461483,72.73853503
-7.55797423,7.98181228,72.69727425
-7.53005026,8.07879023,72.66392988
-7.50212555,8.17559624,72.63729959
-7.47412091,8.27226947,72.61581575
-7.44592568,8.36880597,72.59754165
-7.41748382,8.46520799,72.58017470
-7.38875590,8.56147137,72.56104525
-7.35956073,8.65753616,72.54411375
-7.33026131,8.75350746,72.53253256
-7.30078814,8.84934763,72.52399901
-7.27111689,8.94503448,72.51837988
-7.24125535,9.04056598,72.51554647
-7.21122918,9.13596722,72.51537468
