east,north,yaw
141.33944141,-3.34395975,154.32363351
141.25175190,-3.30208274,153.87943586
141.16853066,-3.26069512,153.41784473
141.08912249,-3.21951196,152.89322359
141.01287216,-3.17824836,152.24216578
140.93912446,-3.13661939,151.33494318
140.86668379,-3.09406718,150.35805166
140.79570376,-3.05073283,149.57528654
140.72553434,-3.00632068,148.80231633
140.65561764,-2.96056264,148.03963124
140.58570396,-2.91333692,147.28769934
140.51633073,-2.86494597,146.54696441
140.44796646,-2.81568413,145.81784566
140.38029288,-2.76540413,145.10073919
140.31328785,-2.71412032,144.39601526
140.24692961,-2.66184660,143.70401934
140.18119688,-2.60859653,143.02507411
140.11607088,-2.55438012,142.35947637
140.05152857,-2.49921422,141.70749993
139.98754864,-2.44311319,141.06939609
139.92410999,-2.38609141,140.44539252
139.86119173,-2.32816315,139.83569496
139.79877313,-2.26934274,139.24048904
139.73683373,-2.20964443,138.65994059
139.67535333,-2.14908237,138.09419538
139.61431193,-2.08767076,137.54338059
139.55368976,-2.02542372,137.00760601
139.49346735,-1.96235532,136.48696473
139.43362539,-1.89847965,135.98153595
139.37414492,-1.83381070,135.49138398
139.31500715,-1.76836246,135.01655932
139.25619355,-1.70214890,134.55710022
139.19768581,-1.63518400,134.11303360
139.13946586,-1.56748167,133.68437741
139.08151588,-1.49905583,133.27113914
139.02414940,-1.42963131,132.87331667
138.96646579,-1.35999471,132.49090180
138.90870569,-1.28992983,132.12387996
138.85108077,-1.21924994,131.77223036
138.79377115,-1.14779916,131.43592712
138.73690675,-1.07543543,131.11493993
138.68061706,-1.00209517,130.80923515
138.62501591,-0.92778165,130.51877666
138.57012802,-0.85247347,130.24352636
138.51586771,-0.77616690,129.98344402
138.46214700,-0.69881367,129.72670684
138.40796443,-0.62115401,129.48642905
138.35360800,-0.54275107,129.28616995
138.29892559,-0.46359950,129.12276070
138.24379831,-0.38373068,128.99230754
138.18815114,-0.30322453,128.89015220
138.13204262,-0.22231845,128.81082698
138.07556078,-0.14127842,128.74800154
138.01870291,-0.06024665,128.69442806
137.96172813,0.02090179,128.64188635
137.90416942,0.10177374,128.58113081
137.84629707,0.18261388,128.53172559
137.78676398,0.26245770,128.50753777
137.72534639,0.34122440,128.49772325
137.66201513,0.41896734,128.50180123
137.59693709,0.49583344,128.51927161
137.53048009,0.57201455,128.54961521
137.46311876,0.64781929,128.59229434
137.39538946,0.72368087,128.64675310
137.32792119,0.80007760,128.71242217
137.26060956,0.87690446,128.78872122
137.19391614,0.95450927,128.87506327
137.12680771,1.03204953,128.97085826
137.05963329,1.10978357,129.07551735
136.99238914,1.18768949,129.18845369
136.92507030,1.26574495,129.30908206
136.85767050,1.34392701,129.43682102
136.79018213,1.42221204,129.57109145
136.72259634,1.50057578,129.71131537
136.65490286,1.57899309,129.85691794
136.58707477,1.65742546,130.00732486
136.51915608,1.73589257,130.16196446
136.45113213,1.81436649,130.32027020
136.38300363,1.89283205,130.48167989
136.31477184,1.97127474,130.64563539
136.24643884,2.04968095,130.81158404
136.17800730,2.12803780,130.97897948
136.10948066,2.20633327,131.14728157
136.04086313,2.28455624,131.31596085
135.97215961,2.36269640,131.48449915
135.90337563,2.44074422,131.65238785
135.83451096,2.51868500,131.81912864
135.76558279,2.59652012,131.98423282
135.69660502,2.67424808,132.14721832
135.62758805,2.75186419,132.30760905
135.55853924,2.82936105,132.46493634
135.48946263,2.90672882,132.61873993
135.42036030,2.98395508,132.76856974
135.35123320,3.06102451,132.91399131
135.28208079,3.13792040,133.05458570
135.21290107,3.21462624,133.18994938
135.14369084,3.29112708,133.31947664
135.07446357,3.36742664,133.44280374
135.00522255,3.44352321,133.56003232
134.93596942,3.51941712,133.67127699
134.86671496,3.59512047,133.77664588
134.79743386,3.67061178,133.87622187
134.72812740,3.74589152,133.97003838
134.65881408,3.82097175,134.05805341
134.58953799,3.89588777,134.14011848
134.52029988,3.97063167,134.21594657
134.45110361,4.04519870,134.28507788
134.38196719,4.11959931,134.34739842
134.31289256,4.19383052,134.40307585
134.24387725,4.26788784,134.45212851
134.17491539,4.34176605,134.49459732
134.10597335,4.41543449,134.53054876
134.03719382,4.48903513,134.56007421
133.96853594,4.56252854,134.58327815
133.89974043,4.63566126,134.60027317
133.83058551,4.70821846,134.61119275
133.76095072,4.78008650,134.61619932
133.69079917,4.85123546,134.61549389
133.62015007,4.92169191,134.60932650
133.54909682,4.99155609,134.59794940
133.47780118,5.06099555,134.58157560
133.40650777,5.13025872,134.56038736
133.33548319,5.19961484,134.53453663
133.26471952,5.26906125,134.50414239
133.19409123,5.33847894,134.46930695
133.12363603,5.40790999,134.43014684
133.05336292,5.47736926,134.38681398
132.98328104,5.54687287,134.33951300
132.91340022,5.61643876,134.28850470
132.84373131,5.68608684,134.23405777
132.77428431,5.75583693,134.17643799
132.70506838,5.82570846,134.11593157
132.63604974,5.89567905,134.05283988
132.56721830,5.96574983,133.98747690
132.49857712,6.03593506,133.92016617
132.43015167,6.10627100,133.85123816
132.36192715,6.17675477,133.78102423
132.29389964,6.24739413,133.70985618
132.22606472,6.31819645,133.63806749
132.15841782,6.38916904,133.56599331
132.09095284,6.46031789,133.49397427
132.02366324,6.53164866,133.42235617
131.95654205,6.60316679,133.35148767
131.88959638,6.67489079,133.28171780
131.82278483,6.74679389,133.21339378
131.75609497,6.81887618,133.14685868
131.68953233,6.89115431,133.08244428
131.62313060,6.96367084,133.02046645
131.55687735,7.03642556,132.96124035
131.49075847,7.10941681,132.90509440
131.42475828,7.18264168,132.85236309
131.35885949,7.25609603,132.80338317
131.29304357,7.32977473,132.75848999
131.22729065,7.40367133,132.71801408
131.16153923,7.47774027,132.68227864
131.09590836,7.55210223,132.65158984
131.03045973,7.62682470,132.62622900
130.96485059,7.70160304,132.60645010
130.89877127,7.77616207,132.59249588
130.83201001,7.85031554,132.58460392
130.76443767,7.92395311,132.58299656
130.69600936,7.99704242,132.58788666
130.62676744,8.06963030,132.59947916
130.55684387,8.14184401,132.61797877
130.48648588,8.21391459,132.64373832
130.41599051,8.28611602,132.67691420
130.34545110,8.35853345,132.71737036
130.27464906,8.43096436,132.76504663
130.20360547,8.50342677,132.81994748
130.13231569,8.57591536,132.88214534
130.06077495,8.64842849,132.95177725
129.98897849,8.72096831,133.02904657
129.91692290,8.79353858,133.11422487
129.84460680,8.86614436,133.20765662
129.77203071,8.93879102,133.30975558
129.69913242,9.01142322,133.42062969
129.62589186,9.08402302,133.54020109
129.55230582,9.15658599,133.66853299
129.47839889,9.22913220,133.80567626
129.40415795,9.30164586,133.95167441
129.32957953,9.37412112,134.10656221
129.25465892,9.44655128,134.27036830
129.17938978,9.51892721,134.44311499
129.10376321,9.59123702,134.62481566
129.02776661,9.66346481,134.81547515
128.95138316,9.73559010,135.01508930
128.87460821,9.80760369,135.22364439
128.79743240,9.87949145,135.44111942
128.71984640,9.95123892,135.66748803
128.64184073,10.02283122,135.90272101
128.56340582,10.09425312,136.14678922
128.48453198,10.16548910,136.39966654
128.40520942,10.23652331,136.66132830
128.32542835,10.30733968,136.93175066
128.24517909,10.37792204,137.21091202
128.16445209,10.44825409,137.49878924
128.08323811,10.51831952,137.79535998
128.00152815,10.58810197,138.10060375
127.91931342,10.65758492,138.41449837
127.83658554,10.72675186,138.73701947
127.75333630,10.79558601,139.06814010
127.66955775,10.86407039,139.40782952
127.58524212,10.93218766,139.75605378
127.50038194,10.99992038,140.11277646
127.41500733,11.06729945,140.47796000
127.32902482,11.13419528,140.85156684
127.24243362,11.20059638,141.23356230
127.15524347,11.26650471,141.62391422
127.06747087,11.33193127,142.02258961
126.97913855,11.39688999,142.42955673
126.89026406,11.46139972,142.84478337
126.80085648,11.52548076,143.26823349
126.71092602,11.58914338,143.69986707
126.62048354,11.65238414,144.13964019
126.52953913,11.71518362,144.58926224
126.43799928,11.77737949,145.04741564
126.34590014,11.83896395,145.51040864
126.25325356,11.89988843,145.97719660
126.16007292,11.96010560,146.44723643
126.06636784,12.01957227,146.92048447
125.97212428,12.07826084,147.39739092
125.87731368,12.13615187,147.87888940
125.78191294,12.19322015,148.36638722
125.68589886,12.24943750,148.86175556
125.58924905,12.30477157,149.36731531
125.49189923,12.35910310,149.88158759
125.39390067,12.41250708,150.40273128
125.29527833,12.46499425,150.93166373
125.19606089,12.51657741,151.46841419
125.09627390,12.56727073,152.01300699
124.99593061,12.61708914,152.56546247
124.89503855,12.66603829,153.12579482
124.79360201,12.71410657,153.69401259
124.69161305,12.76126346,154.27011835
124.58905053,12.80745276,154.85410885
124.48587756,12.85258616,155.44597369
124.38214653,12.89674350,156.04569463
124.27784494,12.93988257,156.65324758
124.17297399,12.98198664,157.26859982
124.06753508,13.02303919,157.89171016
123.96152972,13.06302368,158.52252894
123.85495959,13.10192356,159.16099887
123.74782649,13.13972239,159.80705378
123.64013237,13.17640373,160.46061638
123.53187933,13.21195124,161.12160166
123.42306959,13.24634857,161.78991416
123.31370552,13.27957944,162.46544788
123.20378963,13.31162768,163.14808830
123.09332452,13.34247703,163.83770845
122.98231298,13.37211143,164.53417081
122.87075786,13.40051476,165.23732910
122.75866217,13.42767100,165.94702510
122.64602903,13.45356415,166.66308973
122.53286166,13.47817821,167.38534292
122.41916319,13.50149586,168.11359415
122.30493751,13.52350400,168.84764245
122.19018820,13.54418723,169.58727516
122.07491889,13.56352969,170.33227027
121.95913321,13.58151498,171.08239525
121.84315804,13.59810236,171.83740777
121.72645420,13.61332223,172.59705615
121.60842302,13.62718397,173.36107747
121.48932540,13.63963889,174.12920251
121.36974771,13.65063230,174.90115249
121.25036445,13.66012109,175.85345299
121.13096912,13.66813254,176.73272093
121.01281148,13.67461131,177.36235201
120.89656241,13.67952797,177.86834138
120.78289278,13.68285311,178.31224189
120.67247345,13.68455731,178.73819395
