east,north,yaw
-44.69709153,-117.57829845,71.24878772
-44.66619662,-117.48306678,71.25511768
-44.63507649,-117.38783602,71.26185144
-44.60375414,-117.29261033,71.26967540
-44.57225254,-117.19739387,71.27957021
-44.54059469,-117.10219078,71.29354620
-44.50880456,-117.00701499,71.30914825
-44.47691306,-116.91185151,71.32249845
-44.44491359,-116.81671563,71.33613003
-44.41284615,-116.72160614,71.34999537
-44.38074542,-116.62651808,71.36404350
-44.34863603,-116.53143370,71.37822603
-44.31651687,-116.43634412,71.39249973
-44.28444140,-116.34123844,71.40682680
-44.25243272,-116.24610992,71.42117281
-44.22049084,-116.15095961,71.43550233
-44.18859778,-116.05579455,71.44977763
-44.15672860,-115.96062408,71.46396038
-44.12482383,-115.86546913,71.47801219
-44.09287841,-115.77033222,71.49189826
-44.06087042,-115.67522144,71.50558942
-44.02878314,-115.58014305,71.51906173
-43.99660730,-115.48510081,71.53229350
-43.96439294,-115.39007856,71.54526120
-43.93215674,-115.29507144,71.55793882
-43.89991507,-115.20007475,71.57029644
-43.86768371,-115.10508404,71.58230156
-43.83547147,-115.01009716,71.59392272
-43.80327218,-114.91511690,71.60513212
-43.77115879,-114.82011973,71.61590714
-43.73917509,-114.72509174,71.62622925
-43.70733801,-114.63002793,71.63608185
-43.67564024,-114.53493132,71.64544636
-43.64402156,-114.43982245,71.65430238
-43.61246515,-114.34470749,71.66262752
-43.58094769,-114.24959472,71.67040040
-43.54944174,-114.15449366,71.67760440
-43.51791868,-114.05941413,71.68422855
-43.48636810,-113.96435979,71.69026926
-43.45485303,-113.86930986,71.69572532
-43.42338444,-113.77426079,71.70059501
-43.39196092,-113.67921310,71.70487575
-43.36056485,-113.58417259,71.70856574
-43.32915854,-113.48915158,71.71166719
-43.29776158,-113.39414326,71.71418946
-43.26637290,-113.29914753,71.71615179
-43.23499140,-113.20416413,71.71758033
-43.20361602,-113.10919277,71.71850355
-43.17224575,-113.01423309,71.71894745
-43.14087963,-112.91928478,71.71893399
-43.10951671,-112.82434750,71.71848172
-43.07815609,-112.72942092,71.71761040
-43.04679690,-112.63450462,71.71634485
-43.01543827,-112.53959812,71.71471419
-42.98407939,-112.44470088,71.71275140
-42.95271948,-112.34981234,71.71048862
-42.92135784,-112.25493193,71.70795529
-42.88999385,-112.16005919,71.70517593
-42.85862694,-112.06519371,71.70216916
-42.82725660,-111.97033517,71.69895212
-42.79588236,-111.87548327,71.69554006
-42.76450380,-111.78063777,71.69194733
-42.73312051,-111.68579839,71.68818889
-42.70173212,-111.59096489,71.68427900
-42.67033826,-111.49613699,71.68023145
-42.63893863,-111.40131443,71.67605957
-42.60753291,-111.30649700,71.67177591
-42.57612087,-111.21168448,71.66739109
-42.54470226,-111.11687672,71.66291386
-42.51327687,-111.02207358,71.65835118
-42.48184453,-110.92727493,71.65370873
-42.45040503,-110.83248066,71.64899134
-42.41895824,-110.73769068,71.64420469
-42.38750399,-110.64290493,71.63935576
-42.35604216,-110.54812334,71.63444922
-42.32457266,-110.45334591,71.62948695
