heading_error_deg,angular_error_deg,lat_error,pursuit_control_deg,stanley_control_deg,steer_angle_deg,preview_dist,preview_idx,closest_idx,target_east,target_north,target_yaw_deg,closest_east,closest_north,closest_yaw_deg,cur_east,cur_north,cur_yaw_deg,cur_spd
-5.267,-13.7032,0.380991,-9.41023,83.0446,46.0627,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.2676,-1.67856,-17.278,0.00223607
-5.267,-13.7032,0.380991,-9.41023,83.0446,46.0627,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.2676,-1.67856,-17.278,0.00223607
-5.267,-13.7032,0.380991,-9.41023,83.0446,46.0627,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.2676,-1.67856,-17.278,0.00223607
-5.267,-13.7032,0.380991,-9.41023,83.0446,46.0627,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.2676,-1.67856,-17.278,0.00223607
-5.267,-13.7032,0.380991,-9.41023,83.0446,46.0627,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.2676,-1.67856,-17.278,0.00223607
-5.26901,-13.7036,0.381026,-9.411,83.2201,46.1677,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26782,-1.67842,-17.276,0.002
-5.26901,-13.7036,0.381026,-9.411,83.2201,46.1677,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26782,-1.67842,-17.276,0.002
-5.26901,-13.7036,0.381026,-9.411,83.2201,46.1677,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26782,-1.67842,-17.276,0.002
-5.26901,-13.7036,0.381026,-9.411,83.2201,46.1677,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26782,-1.67842,-17.276,0.002
-5.26901,-13.7036,0.381026,-9.411,83.2201,46.1677,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26782,-1.67842,-17.276,0.002
-5.27103,-13.7056,0.380999,-9.41235,83.218,46.1658,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26786,-1.67835,-17.274,0.002
-5.27103,-13.7056,0.380999,-9.41235,83.218,46.1658,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26786,-1.67835,-17.274,0.002
-5.27103,-13.7056,0.380999,-9.41235,83.218,46.1658,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26786,-1.67835,-17.274,0.002
-5.27103,-13.7056,0.380999,-9.41235,83.218,46.1658,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26786,-1.67835,-17.274,0.002
-5.27103,-13.7056,0.380999,-9.41235,83.218,46.1658,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26786,-1.67835,-17.274,0.002
-5.27103,-13.706,0.380967,-9.41258,83.2178,46.1657,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26785,-1.67832,-17.274,0.002
-5.27103,-13.706,0.380967,-9.41258,83.2178,46.1657,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26785,-1.67832,-17.274,0.002
-5.27103,-13.706,0.380967,-9.41258,83.2178,46.1657,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26785,-1.67832,-17.274,0.002
-5.27103,-13.706,0.380967,-9.41258,83.2178,46.1657,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26785,-1.67832,-17.274,0.002
-5.27103,-13.706,0.380967,-9.41258,83.2178,46.1657,4.002,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26785,-1.67832,-17.274,0.002
-5.27402,-13.7121,0.380811,-9.41395,82.3409,45.639,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26757,-1.67835,-17.271,0.00316228
-5.27402,-13.7121,0.380811,-9.41395,82.3409,45.639,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26757,-1.67835,-17.271,0.00316228
-5.27402,-13.7121,0.380811,-9.41395,82.3409,45.639,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26757,-1.67835,-17.271,0.00316228
-5.27402,-13.7121,0.380811,-9.41395,82.3409,45.639,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26757,-1.67835,-17.271,0.00316228
-5.27402,-13.7121,0.380811,-9.41395,82.3409,45.639,4.00316,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26757,-1.67835,-17.271,0.00316228
-5.27301,-13.711,0.38082,-9.41538,83.0378,46.0565,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26757,-1.67836,-17.272,0.00223607
-5.27301,-13.711,0.38082,-9.41538,83.0378,46.0565,4.00224,50,17,-6.388,1.853,-22.545,-3.984,-1.419,17423.1,-4.26757,-1.67836,-17.272,0.00223607
