east,north,raw_curvature,smoothed_curvature
-5.6021528,11.76785302,0.0,-0.0020307935943727506
-5.58090233,11.86563458,-0.017582971005096235,-0.013013409510366733
-5.55948128,11.96337212,-0.017395257514978803,-0.018919180432930748
-5.53789151,12.06106609,-0.017210442091271254,-0.01720962391388281
-5.51613485,12.15871693,-0.01702300658615771,-0.017023482758489437
-5.49421315,12.2563251,-0.01683697825468738,-0.0168370291822087
-5.47212825,12.35389103,-0.016650829008039186,-0.016650258769403237
-5.44988198,12.45141519,-0.016462436602976544,-0.016463120549849233
-5.4274762,12.54889801,-0.01627633158034883,-0.016276035043061514
-5.40491274,12.64633994,-0.016089065100823925,-0.016088814980004855
-5.38219344,12.74374143,-0.015900647926754982,-0.015901275411471183
-5.35932015,12.84110293,-0.015714008896717552,-0.015713147005426538
-5.3362947,12.93842489,-0.015524756194264747,-0.01552582911494723
-5.31311895,13.03570774,-0.015338553401344745,-0.01533746439122338
-5.28979472,13.13295194,-0.015148546691943302,-0.01514917133079701
-5.26632387,13.23015794,-0.014960587358128682,-0.01496069350067709
-5.24270824,13.32732618,-0.014773239238675781,-0.014772676294648311
-5.21894966,13.42445711,-0.014583827842627954,-0.014584535505660782
-5.19504998,13.52155118,-0.014396246359348944,-0.014395579925913511
-5.17101103,13.61860884,-0.01420613190948609,-0.01420625825551266
-5.14683467,13.71563052,-0.014016896670433338,-0.01401776869057206
-5.12252274,13.81261669,-0.013830478782607876,-0.013828899646187633
-5.09807706,13.90956778,-0.013638642818141708,-0.013640201922117099
-5.0734995,14.00648424,-0.013451576607402925,-0.013450534028813193
-5.04879188,14.10336652,-0.013261278434379964,-0.013261577678350692
-5.02395605,14.20021508,-0.013071909999941376,-0.013072460407239861
-4.99899386,14.29703034,-0.012884141825297114,-0.01288290393987218
-4.97390713,14.39381277,-0.012692223013174709,-0.012693588262352416
-4.94869773,14.49056281,-0.012504844662925839,-0.01250385259411978
-4.92336748,14.58728091,-0.012314769966828827,-0.01231553433770302
-4.89791823,14.68396751,-0.012126336253232577,-0.012125506554924975
-4.87235181,14.78062306,-0.011934963190286989,-0.011935549327886518
-4.84667008,14.87724801,-0.011745750259730563,-0.01174576086356406
-4.82087488,14.9738428,-0.011556958671307195,-0.011556511395670797
-4.79496804,15.07040789,-0.011366725923369904,-0.011367472256102885
-4.76895141,15.16694372,-0.01117840773002961,-0.011177362508000884
-4.74282682,15.26345073,-0.010986652590179039,-0.010987637200341936
-4.71659613,15.35992938,-0.010798303259712634,-0.010797882426657784
-4.69026117,15.45638011,-0.010608715375957643,-0.010608549603513918
-4.66382378,15.55280337,-0.010418154295214492,-0.01041838822476273
-4.63728581,15.64919961,-0.010228819385626992,-0.010229081584406649
-4.6106491,15.74556927,-0.010040180837276098,-0.010039354175382544
-4.58391548,15.8419128,-0.00984864985448003,-0.009849568440185778
-4.55708681,15.93823065,-0.00966028203031507,-0.009659766584240786
-4.53016492,16.03452326,-0.009470416124623715,-0.009470529112175637
-4.50315165,16.13079109,-0.009280404434781713,-0.009280280452094827
-4.47604885,16.22703457,-0.009090281070058997,-0.009090640985083977
-4.44885836,16.32325417,-0.008901526604405761,-0.008901106735754222
-4.42158202,16.41945031,-0.00871142260314737,-0.008510513794325658
-4.39422167,16.51562346,-0.00852214909921043,-0.009329795688952324
-4.36677915,16.61177406,-0.010679822228441476,-0.0094661949661008
