longtitude,latitude,altitude,north,east,up,yaw,pitch,roll,vel_speed,vel_north,vel_east,vel_up,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rtk_status
117.37797063,31.96343337,41.62880025,29.63119028,62.84693126,41.62880025,109.01465655,0.43928079,-0.33287279,3.00161709,-0.94586055,2.84861433,0.00020251,-0.04366005,0.05391387,10.07578130,0.52451910,0.42223347,1.43411946,4
117.37797163,31.96343306,41.62766755,29.59862850,62.94147603,41.62766755,108.99285643,0.44333777,-0.32700000,2.99134044,-0.94000399,2.83967289,0.00000000,-0.09596400,0.07532177,10.19194867,0.02279111,0.14022000,1.53295200,4
117.37797262,31.96343274,41.62618889,29.56610361,63.03603327,41.62618889,108.97006596,0.43578500,-0.32708625,2.97948234,-0.93332843,2.82929868,0.00000392,-0.15567958,0.09421909,10.27625554,-0.73843361,-0.22567167,1.61288510,4
117.37797362,31.96343244,41.62529361,29.53361720,63.13060350,41.62529361,108.94632293,0.41822266,-0.33416554,2.96996037,-0.92752986,2.82110103,0.00032570,-0.17794060,0.07914944,10.23879624,-1.17568893,-0.44076329,1.66820207,4
117.37797462,31.96343215,41.62539725,29.50117082,63.22518724,41.62539725,108.92166016,0.38352153,-0.35321862,2.96443848,-0.92323298,2.81663023,0.00119175,-0.13606993,0.00592001,9.99284309,-1.05822538,-0.39764642,1.68136977,4
117.37797563,31.96343186,41.62572920,29.46876598,63.31978499,41.62572920,108.89611574,0.34507800,-0.37489723,2.95982454,-0.91927719,2.81300640,0.00217725,-0.07988058,-0.07986370,9.70134034,-0.81526174,-0.29635732,1.68458075,4
117.37797663,31.96343157,41.62623993,29.43640410,63.41439722,41.62623993,108.86974073,0.31778415,-0.38967739,2.95541890,-0.91541981,2.80965974,0.00285768,-0.03977116,-0.11600662,9.54352442,-0.57731286,-0.21731993,1.65395195,4
117.37797762,31.96343128,41.62706600,29.40408649,63.50902438,41.62706600,108.84259653,0.31015734,-0.39228934,2.95138067,-0.91173600,2.80680200,0.00300000,-0.02802534,-0.06458810,9.62151915,-0.34821096,-0.17753271,1.56363347,4
117.37797863,31.96343097,41.62797339,29.37181440,63.60366685,41.62797339,108.81474466,0.30776541,-0.39175200,2.94743887,-0.90809818,2.80407231,0.00300376,-0.02378483,0.00973323,9.76158109,-0.12217279,-0.14903785,1.45791370,4
117.37797962,31.96343067,41.62870937,29.33958894,63.69832502,41.62870937,108.78623871,0.30811358,-0.39688216,2.94343774,-0.90446727,2.80123984,0.00331602,-0.01985064,0.06302616,9.87691567,0.04428118,-0.19543893,1.38391580,4
117.37798061,31.96343037,41.62900000,29.30741115,63.79299921,41.62900000,108.75712503,0.31558057,-0.41673652,2.93928251,-0.90085442,2.79814038,0.00442981,-0.01671232,0.06168637,9.92800692,0.05593256,-0.43642053,1.39233265,4
117.37798162,31.96343008,41.62899933,29.27528200,63.88768976,41.62899933,108.72745023,0.32762827,-0.44618611,2.93503193,-0.89725457,2.79487129,0.00606537,-0.01402306,0.02481900,9.93704271,-0.03359747,-0.80279458,1.45435451,4
117.37798262,31.96342979,41.62894311,29.24320240,63.98239694,41.62894311,108.69726811,0.33432685,-0.47450674,2.93121224,-0.89375442,2.79198063,0.00759501,-0.00554948,-0.00172363,9.93533279,-0.13612776,-1.03831192,1.50168795,4
117.37798362,31.96342949,41.62872686,29.21117313,64.07712102,41.62872686,108.66663905,0.32561122,-0.49957395,2.92863426,-0.89054168,2.79018056,0.00881944,0.01959239,0.00148598,9.90265770,-0.27611947,-0.89674760,1.50669459,4
117.37798462,31.96342919,41.62839330,29.17919488,64.17186220,41.62839330,108.63562367,0.30561878,-0.52218433,2.92698244,-0.88754438,2.78919584,0.00981677,0.05689559,0.02647170,9.84725451,-0.44282146,-0.47931968,1.48080314,4
117.37798562,31.96342889,41.62806112,29.14726825,64.26662069,41.62806112,108.60427796,0.28739647,-0.53887563,2.92664422,-0.88494054,2.78952197,0.01053775,0.08958056,0.04885004,9.78930205,-0.54812651,-0.10547946,1.46530916,4
117.37798662,31.96342861,41.62773288,29.11539374,64.36139664,41.62773288,108.57265459,0.27425359,-0.53858241,2.93007524,-0.88346577,2.79360947,0.01046577,0.10901352,0.06374641,9.72403548,-0.47725693,0.14328490,1.47965005,4
117.37798763,31.96342833,41.62740805,29.08357178,64.45619017,41.62740805,108.54080928,0.26484791,-0.52588412,2.93624070,-0.88281057,2.80042582,0.00981488,0.11865586,0.07308242,9.65376965,-0.27804001,0.30028338,1.51569058,4
117.37798864,31.96342804,41.62712803,29.05180268,64.55100138,41.62712803,108.50880604,0.25790733,-0.51244905,2.94104806,-0.88178874,2.80589584,0.00915222,0.11853929,0.07422509,9.61137312,-0.09802218,0.41785669,1.54554180,4
117.37798963,31.96342775,41.62700000,29.02008665,64.64583034,41.62700000,108.47671591,0.25932988,-0.49651459,2.94124787,-0.87952309,2.80679830,0.00844958,0.08531477,0.04757113,9.66352598,0.01685959,0.40167572,1.55439491,4
117.37799062,31.96342746,41.62699630,28.98842379,64.74067705,41.62699630,108.44460967,0.26777290,-0.47856919,2.93756485,-0.87620800,2.80385206,0.00771742,0.02434161,-0.00220856,9.79504595,0.07611444,0.27246249,1.54550807,4
117.37799163,31.96342717,41.62669488,28.95681406,64.83554149,41.62669488,108.41255137,0.27422798,-0.46822761,2.93376886,-0.87276147,2.80083035,0.00731991,-0.02522867,-0.02863578,9.90387521,0.07460176,0.11458580,1.53252455,4
117.37799264,31.96342690,41.62578324,28.92525734,64.93042361,41.62578324,108.38059747,0.27660838,-0.47347173,2.92974135,-0.86904554,2.79765393,0.00760838,-0.05142618,-0.00719687,9.96619475,-0.05146749,-0.10204287,1.51114399,4
117.37799366,31.96342665,41.62460405,28.89375341,65.02532333,41.62460405,108.34880249,0.27717339,-0.48555676,2.92561418,-0.86521260,2.79441172,0.00819759,-0.06726967,0.03520534,10.00779070,-0.23200224,-0.34379632,1.48602541,4
117.37799467,31.96342638,41.62347353,28.86230198,65.12024052,41.62347353,108.31722568,0.27567492,-0.49700173,2.92165735,-0.86149078,2.79135040,0.00873110,-0.07618174,0.07180837,10.02563581,-0.39041155,-0.52817614,1.45690600,4
117.37799568,31.96342611,41.62257420,28.83090263,65.21517506,41.62257420,108.28593245,0.26437450,-0.50540637,2.91850971,-0.85829681,2.78914840,0.00900000,-0.05216856,0.08086478,9.93066103,-0.44372334,-0.44002454,1.40878160,4
117.37799669,31.96342582,41.62191229,28.79955484,65.31012673,41.62191229,108.25498839,0.24314109,-0.51070451,2.91619072,-0.85564141,2.78782528,0.00899965,0.00522003,0.06200747,9.72137205,-0.39013034,-0.07547201,1.34134834,4
117.37799769,31.96342553,41.62145641,28.76825798,65.40509533,41.62145641,108.22445102,0.22417587,-0.51458817,2.91440290,-0.85316725,2.78697266,0.00897008,0.05581813,0.04962105,9.53934602,-0.32751017,0.24475660,1.27418217,4
117.37799869,31.96342526,41.62202164,28.73701134,65.50008061,41.62202164,108.19436744,0.21645194,-0.51146151,2.91524761,-0.85159135,2.78845194,0.00879567,0.07276196,0.06930546,9.49243780,-0.22014854,0.34531208,1.20833873,4
117.37799969,31.96342499,41.62364127,28.70581415,65.59508229,41.62364127,108.16477968,0.22033900,-0.50110039,2.91880875,-0.85094269,2.79233710,0.00847188,0.05495602,0.12203105,9.58511601,-0.06669802,0.21904180,1.14379437,4
117.37800070,31.96342472,41.62522633,28.67466553,65.69010007,41.62522633,108.13573355,0.22413947,-0.49134648,2.92211905,-0.85023866,2.79597178,0.00816591,0.03838607,0.16724203,9.67888417,0.07573003,0.10067494,1.07345789,4
117.37800170,31.96342444,41.62654012,28.64356457,65.78513364,41.62654012,108.10728167,0.22726028,-0.48636009,2.92345988,-0.84909979,2.79763991,0.00800000,0.03152057,0.15344968,9.78121387,0.13161424,0.04436212,0.95763907,4
117.37800271,31.96342415,41.62753184,28.61251023,65.88018265,41.62753184,108.07947941,0.22956870,-0.48701451,2.92247066,-0.84744731,2.79698132,0.00799967,0.03616338,0.06980963,9.89357391,0.08487815,0.06166382,0.78795078,4
117.37800371,31.96342386,41.62846368,28.58150140,65.97524671,41.62846368,108.05237878,0.23124417,-0.48703817,2.92176105,-0.84592884,2.79658728,0.00797004,0.04182554,-0.00919411,9.99604491,0.02995594,0.08776158,0.61939336,4
117.37800472,31.96342359,41.62883250,28.55053687,66.07032541,41.62883250,108.02602579,0.22696987,-0.48113235,2.92368006,-0.84567002,2.79868006,0.00766499,0.05707030,-0.04461979,10.00556132,-0.10192256,0.19654738,0.46145586,4
117.37800573,31.96342332,41.62851117,28.51961537,66.16541833,41.62851117,108.00046297,0.21540204,-0.46795788,2.92882132,-0.84695533,2.80382132,0.00702234,0.08406192,-0.02662539,9.90112948,-0.32813799,0.40669638,0.31653659,4
117.37800674,31.96342305,41.62819149,28.48873557,66.26052500,41.62819149,107.97573370,0.20386345,-0.45469113,2.93395631,-0.84823908,2.80895463,0.00637456,0.11080661,-0.00846242,9.79706202,-0.55099686,0.61625663,0.17229817,4
117.37800775,31.96342278,41.62800246,28.45789605,66.35564496,41.62800246,107.95188455,0.19462965,-0.43412427,2.93859986,-0.84939997,2.81346327,0.00532194,0.11805195,0.02303451,9.72172835,-0.50870184,0.77941707,0.08177945,4
117.37800876,31.96342250,41.62800000,28.42709531,66.45077770,41.62800000,107.92896283,0.18868783,-0.40313025,2.94254144,-0.85038536,2.81707965,0.00369107,0.09744564,0.07357696,9.68743596,-0.08767716,0.87630353,0.06799031,4
117.37800976,31.96342222,41.62800000,28.39633178,66.54592270,41.62800000,107.90701079,0.18295119,-0.37204536,2.94646859,-0.85136831,2.82068071,0.00205592,0.07649157,0.12388106,9.65425944,0.33600327,0.97082760,0.05521663,4
117.37801077,31.96342195,41.62800000,28.36560383,66.64107939,41.62800000,107.88606165,0.19006175,-0.34460985,2.94998522,-0.85234082,2.82399765,0.00068401,0.05698929,0.13541527,9.66680191,0.57544147,0.94705852,0.04294732,4
117.37801178,31.96342168,41.62800000,28.33490976,66.73624723,41.62800000,107.86614133,0.21620637,-0.32258101,2.95289369,-0.85329790,2.82689369,-0.00029790,0.03963786,0.08950937,9.74708016,0.54191359,0.74803012,0.03142524,4
117.37801279,31.96342142,41.62799595,28.30424786,66.83142564,41.62799595,107.84727522,0.24349317,-0.30102164,2.95573111,-0.85424595,2.82973111,-0.00124999,0.02247712,0.04009456,9.83169801,0.48921612,0.53741438,0.01941332,4
117.37801380,31.96342115,41.62766812,28.27361636,66.92661402,41.62766812,107.82949325,0.26120344,-0.28833459,2.95611181,-0.85455498,2.83011181,-0.00188686,0.00915592,0.01462726,9.90423006,0.35079353,0.32934086,-0.03576470,4
117.37801481,31.96342088,41.62680237,28.24301344,67.02181178,41.62680237,107.81282778,0.26300396,-0.29038736,2.95241106,-0.85380237,2.82641106,-0.00200000,0.00221343,0.02894469,9.95668386,0.06995219,0.12548987,-0.16265629,4
117.37801582,31.96342059,41.62582415,28.21243721,67.11701828,41.62582415,107.79730728,0.26129777,-0.29559594,2.94785952,-0.85283149,2.82185830,-0.00200000,-0.00316102,0.05172200,10.00393394,-0.24044212,-0.07568014,-0.30494375,4
117.37801684,31.96342032,41.62514778,28.18188577,67.21223290,41.62514778,107.78295131,0.25397735,-0.29850406,2.94580186,-0.85275445,2.81970076,-0.00200000,0.00679087,0.06360846,9.98133834,-0.45298149,-0.13425496,-0.43947795,4
117.37801784,31.96342005,41.62500000,28.15135717,67.30745500,41.62500000,107.76977196,0.23682477,-0.29738344,2.94811173,-0.85424277,2.82173794,-0.00200000,0.04358358,0.05642203,9.83642292,-0.49415033,0.05689456,-0.56043482,4
117.37801884,31.96341978,41.62500208,28.12084946,67.40268392,41.62500208,107.75778045,0.21702027,-0.29510211,2.95164485,-0.85617087,2.82494901,-0.00200208,0.08779886,0.04407441,9.65817729,-0.48655901,0.31656568,-0.67705218,4
117.37801985,31.96341951,41.62517375,28.09036064,67.49791901,41.62517375,107.74699190,0.20511194,-0.29001391,2.95536088,-0.85827582,2.82825699,-0.00217375,0.12539721,0.04567161,9.55057303,-0.40957573,0.47079689,-0.74933695,4
117.37802085,31.96341923,41.62568328,28.05988873,67.59315962,41.62568328,107.73742369,0.20893244,-0.27933445,2.95944130,-0.86073311,2.83175802,-0.00268328,0.14981504,0.07504649,9.58368377,-0.19436508,0.41499566,-0.73331287,4
117.37802185,31.96341894,41.62633184,28.02943167,67.68840506,41.62633184,107.72908817,0.21937284,-0.26632483,2.96367973,-0.86333897,2.83534521,-0.00333363,0.16857057,0.11571993,9.67591559,0.07822720,0.27177825,-0.68022696,4
