longtitude,latitude,altitude,north,east,up,yaw,pitch,roll,vel_speed,vel_north,vel_east,vel_up,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rtk_status
117.37731862,31.96344434,41.635,30.846,1.210,41.635,16.807,-0.684,-0.789,1.154,-1.105,-0.333,-0.011,-0.002,-0.057,9.528,-0.616,-0.374,1.339,4
117.37731816,31.96344332,41.635,30.734,1.166,41.635,16.679,-0.668,-0.810,1.160,-1.111,-0.332,-0.011,0.065,0.038,9.755,0.445,-0.041,1.200,4
117.37731771,31.96344231,41.632,30.622,1.124,41.632,16.559,-0.638,-0.799,1.156,-1.108,-0.329,-0.011,0.108,0.120,10.051,0.008,0.061,1.275,4
117.37731728,31.96344133,41.631,30.512,1.083,41.631,16.421,-0.657,-0.790,1.148,-1.101,-0.324,-0.011,0.035,0.119,9.618,-0.353,0.063,1.438,4
117.37731685,31.96344035,41.633,30.404,1.043,41.633,16.274,-0.669,-0.811,1.154,-1.108,-0.323,-0.011,-0.010,-0.007,9.675,-0.179,-0.326,1.363,4
117.37731644,31.96343936,41.634,30.295,1.004,41.634,16.153,-0.644,-0.847,1.157,-1.112,-0.321,-0.012,0.133,-0.078,10.013,0.256,-0.140,0.988,4
117.37731604,31.96343839,41.634,30.186,0.966,41.634,16.055,-0.625,-0.844,1.149,-1.104,-0.317,-0.012,0.280,-0.010,9.899,-0.181,0.312,1.062,4
117.37731568,31.96343742,41.634,30.080,0.933,41.634,15.925,-0.641,-0.807,1.131,-1.088,-0.309,-0.011,0.195,-0.024,9.675,-0.053,0.248,1.549,4
117.37731535,31.96343646,41.635,29.973,0.901,41.635,15.762,-0.604,-0.809,1.136,-1.093,-0.308,-0.011,0.003,-0.002,9.809,0.310,-0.166,1.488,4
117.37731501,31.96343548,41.635,29.864,0.869,41.635,15.646,-0.569,-0.835,1.147,-1.105,-0.308,-0.011,0.042,-0.088,9.789,-0.156,-0.263,0.976,4
117.37731467,31.96343450,41.635,29.755,0.837,41.635,15.552,-0.558,-0.868,1.146,-1.104,-0.306,-0.012,0.149,-0.069,9.865,0.233,-0.290,1.138,4
117.37731435,31.96343352,41.635,29.647,0.806,41.635,15.426,-0.536,-0.857,1.128,-1.088,-0.299,-0.012,0.214,0.043,9.884,-0.091,0.324,1.499,4
