longtitude,latitude,altitude,north,east,up,yaw,pitch,roll,vel_speed,vel_north,vel_east,vel_up,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rtk_status
117.37869671,31.96350180,40.49700000,37.22354596,131.48033847,40.49600000,-164.42144271,3.07000000,-1.30600000,0.45600000,-0.43400000,-0.13900000,0.00900000,0.02800000,1.02900000,9.73200000,-0.57200000,0.10200000,0.51300000,4
117.37869666,31.96350090,40.50077717,37.12719130,131.45347464,40.49977717,-164.35781198,3.03678840,-1.26291363,0.52464867,-0.49963152,-0.15936659,0.00975347,0.02411586,0.47437042,9.63333152,-0.62838578,0.54514811,0.55837079,4
117.37869644,31.96350001,40.50449132,37.03090261,131.42639855,40.50349132,-164.23081659,3.01974753,-1.20550216,0.53757807,-0.51220594,-0.16223836,0.00937702,-0.04028613,0.27911774,9.70306833,-0.52896012,0.38518265,0.62789378,4
117.37869610,31.96349916,40.50703146,36.93467981,131.39911119,40.50603146,-164.10436185,3.00203043,-1.19454674,0.51967134,-0.49570010,-0.15588891,0.00900293,-0.01751205,0.36990421,9.73972735,-0.35614638,0.16324083,0.52062679,4
117.37869569,31.96349832,40.50877675,36.83852283,131.37161356,40.50777675,-163.97844832,2.97853065,-1.20893073,0.51547743,-0.49208325,-0.15397080,0.00938765,0.03931273,0.52177551,9.75051731,-0.27889873,0.21300247,0.50350979,4
117.37869529,31.96349749,40.51075652,36.74243162,131.34390664,40.50975652,-163.85307651,2.95445409,-1.20600428,0.53836261,-0.51385870,-0.16003061,0.00999900,0.02312892,0.60651952,9.79466316,-0.30197513,0.29643447,0.64813470,4
117.37869493,31.96349664,40.51340783,36.64640609,131.31599143,40.51240783,-163.72824692,2.92813095,-1.20227343,0.57633900,-0.55024146,-0.17021286,0.01020924,-0.01624417,0.58316952,9.76535077,-0.30647318,0.11929546,0.51273641,4
117.37869459,31.96349579,40.51677239,36.55044619,131.28786890,40.51577239,-163.60396004,2.89628932,-1.24340417,0.61222778,-0.58529045,-0.18022474,0.01185924,0.04252488,0.55951623,9.76803024,-0.48390996,-0.03432348,0.31533208,4
117.37869426,31.96349493,40.52218435,36.45455185,131.25954006,40.52118435,-163.48021632,2.85700776,-1.23953704,0.63940184,-0.61165553,-0.18766294,0.01200508,0.00912922,0.51414297,9.87776195,-0.58900777,0.00756186,0.16817731,4
117.37869394,31.96349407,40.52755696,36.35872299,131.23100589,40.52655696,-163.35701617,2.82172460,-1.22890787,0.66216649,-0.63315262,-0.19455982,0.01250619,0.00467236,0.45581757,9.83625706,-0.49301223,-0.00393176,-0.15997463,4
117.37869363,31.96349321,40.53300717,36.26295955,131.20226737,40.53200717,-163.23436002,2.79329177,-1.22029058,0.67971529,-0.64946803,-0.20049324,0.01299676,0.01140143,0.43383010,9.75754156,-0.39171725,-0.02819959,-0.49861413,4
117.37869330,31.96349236,40.53884788,36.16726146,131.17332551,40.53784788,-163.11224824,2.77374624,-1.21864200,0.69078890,-0.65980163,-0.20489344,0.01301006,0.00437869,0.49171215,9.76128829,-0.46176924,-0.01351647,-0.67978141,4
117.37869296,31.96349151,40.54652745,36.07162866,131.14418128,40.54552745,-162.99068118,2.76327805,-1.25510244,0.71017424,-0.67780927,-0.21117451,0.01368554,0.00803256,0.51863301,9.85511179,-0.34062688,-0.25498386,-0.75445587,4
117.37869263,31.96349065,40.55343008,35.97606108,131.11483568,40.55243008,-162.86965919,2.74522682,-1.29788160,0.72852792,-0.69514761,-0.21781670,0.01438063,0.04985623,0.49865120,9.85425704,-0.32813205,-0.28067903,-0.80034784,4
117.37869232,31.96348977,40.55960269,35.88055865,131.08528969,40.55860269,-162.74918259,2.72180628,-1.33725076,0.74524457,-0.71110600,-0.22452648,0.01499537,0.10770060,0.44072993,9.77518950,-0.39196420,-0.11283048,-0.82568530,4
117.37869202,31.96348891,40.56562455,35.78512129,131.05554431,40.56462455,-162.62925166,2.70921345,-1.31524689,0.75797022,-0.72249965,-0.22988220,0.01500706,0.03709581,0.37979129,9.72640804,-0.27836567,0.09990561,-0.84240393,4
117.37869170,31.96348805,40.57194799,35.68974896,131.02560053,40.57094799,-162.50986667,2.70680996,-1.30644625,0.77052605,-0.73373612,-0.23516559,0.01539592,0.03371799,0.38328188,9.76240631,-0.23578922,0.09047737,-0.82030756,4
117.37869138,31.96348719,40.57846427,35.59444157,130.99545932,40.57746427,-162.39102788,2.71091636,-1.30561603,0.78487461,-0.74673067,-0.24098450,0.01599534,0.07133803,0.43963702,9.83844240,-0.24710944,-0.04989543,-0.77918115,4
117.37869106,31.96348633,40.58479974,35.49919906,130.96512169,40.58379974,-162.27273552,2.71047921,-1.28878667,0.82160278,-0.78154740,-0.25365305,0.01601188,0.04315288,0.59961851,9.70747059,-0.30790438,0.05793518,-0.82683109,4
117.37869073,31.96348547,40.59039949,35.40402136,130.93458863,40.58939949,-162.15498980,2.71788099,-1.28097567,0.86228038,-0.81977268,-0.26752616,0.01660604,0.03902222,0.73703804,9.70358393,-0.22578505,0.10275042,-0.91041897,4
117.37869041,31.96348461,40.59521608,35.30890840,130.90386111,40.59421608,-162.03779090,2.73347468,-1.28240281,0.90704848,-0.86152232,-0.28267039,0.01779659,0.05997251,0.84726261,9.83156246,-0.00076250,0.07782113,-1.02841172,4
117.37869012,31.96348375,40.59928228,35.21386013,130.87294013,40.59828228,-161.92113899,2.74773374,-1.26987538,0.95856313,-0.90974870,-0.30095052,0.01846898,0.05508353,0.83024312,9.84592770,-0.08014587,-0.03474484,-1.03767412,4
117.37868985,31.96348288,40.60317268,35.11887646,130.84182669,40.60217268,-161.80503423,2.76233031,-1.25670691,1.01068707,-0.95856760,-0.31963895,0.01908176,0.04735706,0.78371414,9.83718656,-0.20765275,-0.15877180,-1.02661232,4
