longtitude,latitude,altitude,north,east,up,yaw,pitch,roll,vel_speed,vel_north,vel_east,vel_up,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rtk_status
117.37896543,31.96336063,40.69300000,21.55348649,156.92709900,40.69100000,-163.44962131,0.34500000,1.71900000,0.17100000,-0.16600000,-0.04300000,-0.00500000,-0.01800000,1.13100000,9.86700000,-0.42500000,-0.22300000,-0.11200000,4
117.37896528,31.96335973,40.69498396,21.45763780,156.89861563,40.69298396,-163.44488571,0.34403455,1.70218687,0.26912644,-0.26016366,-0.06778153,-0.00797337,-0.01395343,0.93093167,9.80975780,-0.17958164,-0.08728082,-0.27306043,4
117.37896508,31.96335884,40.69722050,21.36179330,156.87011626,40.69522050,-163.43569497,0.35431835,1.70498804,0.34524177,-0.33402688,-0.08791559,-0.01021305,0.02419053,0.83986927,9.87075223,-0.15833660,-0.01263870,-0.18330123,4
117.37896485,31.96335797,40.70083792,21.26595271,156.84160183,40.69883792,-163.42706511,0.36164802,1.71573043,0.41292349,-0.39930259,-0.10553447,-0.01221563,0.02216983,0.78697737,9.88036145,-0.25261689,0.12518692,-0.21120965,4
117.37896461,31.96335709,40.70527647,21.17011578,156.81307329,40.70327647,-163.41899611,0.36764150,1.73077074,0.47540378,-0.45932225,-0.12160038,-0.01408228,-0.00297045,0.75987006,9.85284316,-0.38277828,0.28123102,-0.29804317,4
117.37896434,31.96335621,40.71088572,21.07428225,156.78453157,40.70888572,-163.41148796,0.38067420,1.74641905,0.52481375,-0.50704711,-0.13395537,-0.01576509,-0.04260015,0.83630128,9.67123620,-0.00654802,0.11097555,-0.24165759,4
117.37896406,31.96335534,40.71612746,20.97845184,156.75597763,40.71412746,-163.40454064,0.40516999,1.75556285,0.57271056,-0.55328714,-0.14610510,-0.01728146,-0.06271448,0.93078113,9.60114408,0.12793768,-0.05732548,-0.19809688,4
117.37896376,31.96335447,40.72034283,20.88262430,156.72741239,40.71834283,-163.39815414,0.46105086,1.74650195,0.61646393,-0.59546040,-0.15770082,-0.01833571,-0.02891065,1.07353060,9.83979884,-0.40660541,-0.21717898,-0.19085883,4
117.37896348,31.96335359,40.72441510,20.78679937,156.69883682,40.72241510,-163.39232846,0.48871704,1.72839046,0.66081558,-0.63828495,-0.16942503,-0.01935376,-0.01684387,1.11736774,9.98011121,-0.67017498,-0.25223870,-0.19739161,4
117.37896321,31.96335273,40.72823956,20.69097678,156.67025185,40.72623956,-163.38706358,0.46693394,1.69473864,0.70617974,-0.68221725,-0.18136655,-0.02030991,-0.04306555,0.98862370,9.94667936,-0.45864049,-0.06939704,-0.22711888,4
117.37896294,31.96335186,40.73201150,20.59515627,156.64165841,40.73001150,-163.38235949,0.44847533,1.67397770,0.74889068,-0.72363499,-0.19278731,-0.02125700,-0.07108551,0.90049736,9.88926414,-0.33771393,0.08315005,-0.21564824,4
117.37896267,31.96335099,40.73582968,20.49933758,156.61305747,40.73382968,-163.37821618,0.43738084,1.69070660,0.78867975,-0.76226195,-0.20377114,-0.02241779,-0.09159694,0.88779743,9.80581196,-0.48494484,0.16792052,-0.12228604,4
117.37896240,31.96335011,40.74060525,20.40352045,156.58444995,40.73860525,-163.37463365,0.41669953,1.72282505,0.84871284,-0.81995593,-0.21936750,-0.02475684,-0.05350100,0.70505927,9.90519283,-0.74064524,0.31817212,-0.17095709,4
