longtitude,latitude,altitude,north,east,up,yaw,pitch,roll,vel_speed,vel_north,vel_east,vel_up,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rtk_status
117.37865481,31.96344911,40.76000000,31.35420120,127.59068140,40.75900000,-157.50064117,1.97700000,-0.92100000,0.14200000,-0.13300000,-0.05000000,0.00000000,0.14500000,1.98700000,9.82200000,0.08800000,-0.23800000,-0.01200000,4
117.37865472,31.96344821,40.76174751,31.26203417,127.55250577,40.76074751,-157.46789696,2.07573414,-1.00051156,0.25384044,-0.23697666,-0.09019266,0.00087375,0.12053490,1.31071485,9.86656142,0.27410948,-0.27207638,0.03168767,4
117.37865454,31.96344732,40.76298455,31.16990354,127.51422180,40.76198455,-157.40336094,2.11559842,-1.03907525,0.34679526,-0.32387248,-0.12405981,0.00149228,0.11355406,1.03725701,9.85626257,0.12821067,-0.13423959,-0.00532040,4
117.37865429,31.96344645,40.76423083,31.07780817,127.47583257,40.76323083,-157.34072419,2.14603958,-1.06411459,0.43211707,-0.40365541,-0.15519291,0.00200000,0.11992582,0.85900083,9.82491919,-0.06442706,0.06066701,-0.04434459,4
117.37865399,31.96344558,40.76631807,30.98574693,127.43734117,40.76531807,-157.27998613,2.17851084,-1.03293497,0.48838310,-0.45574695,-0.17533975,0.00192048,0.18478799,0.85496396,9.74196858,-0.17794216,0.43490599,0.01291561,4
117.37865365,31.96344473,40.76955273,30.89371867,127.39875070,40.76855273,-157.22114621,2.19387547,-0.94074716,0.58380557,-0.54470011,-0.20930368,0.00111182,0.07076622,0.58001784,9.99588941,-0.20786276,0.52547648,0.15443200,4
117.37865329,31.96344388,40.77355614,30.80172228,127.36006424,40.77255614,-157.16420383,2.20382351,-0.89243860,0.62473790,-0.58331544,-0.22395719,0.00028877,-0.00260947,0.66077509,9.77211298,-0.14016596,0.28907017,0.18324597,4
117.37865291,31.96344303,40.77834762,30.70975659,127.32128488,40.77734762,-157.10915841,2.23234626,-0.84787143,0.68191021,-0.63656259,-0.24425987,0.00000000,0.01178028,0.75634490,9.71434490,0.12189866,0.33625171,0.17456599,4
117.37865250,31.96344220,40.78373617,30.61782049,127.28241572,40.78273617,-157.05600936,2.27497448,-0.79894041,0.74089788,-0.69146384,-0.26525532,-0.00021702,0.05668937,0.82232342,9.79790216,0.24296583,0.47152338,0.14211913,4
117.37865209,31.96344138,40.78970874,30.52591283,127.24345985,40.78870874,-157.00475608,2.32648789,-0.74369414,0.77150730,-0.72058011,-0.27645389,-0.00096359,0.06938108,0.87159712,9.90764812,-0.21468230,0.38044170,0.07716744,4
117.37865165,31.96344055,40.79397211,30.43403247,127.20442034,40.79297211,-156.95539798,2.31178754,-0.73106973,0.82529941,-0.77098932,-0.29553650,-0.00166202,-0.01473828,0.77006320,9.78258249,-0.51835757,0.04631513,0.08326825,4
117.37865121,31.96343973,40.79857862,30.34217829,127.16530031,40.79757862,-156.90793446,2.30889398,-0.73999821,0.86268284,-0.80594610,-0.30868374,-0.00163163,-0.02079423,0.85514022,9.79004316,-0.29362608,-0.09621383,0.07842228,4
