longtitude,latitude,altitude,north,east,up,yaw,pitch,roll,vel_speed,vel_north,vel_east,vel_up,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rtk_status
117.37681805,31.96211014,41.70981870,-117.09622490,-46.11720850,41.70881870,18.76260787,1.05626910,-0.98703307,3.86942304,3.71236260,1.09224173,0.02946978,0.21402736,0.03844013,9.92440593,0.39142988,0.20305134,-0.62073889,4
117.37681841,31.96211099,41.70827653,-117.00153745,-46.08505280,41.70727653,18.75187663,1.06703127,-0.97874588,3.87300873,3.71543551,1.09429289,0.02920640,0.22249569,-0.00830041,9.97826323,0.50741311,0.49929488,-0.63122242,4
117.37681876,31.96211184,41.70673782,-116.90684426,-46.05291551,41.70573782,18.74056222,1.07564221,-0.96646884,3.87576827,3.71776523,1.09601218,0.02853457,0.21352005,-0.01934961,9.99125931,0.46172984,0.67191500,-0.63816464,4
117.37681910,31.96211269,41.70520477,-116.81214498,-46.02079751,41.70420477,18.72875497,1.08078726,-0.94776453,3.87719681,3.71889761,1.09719681,0.02720477,0.17644258,0.02710006,9.93842781,0.15560439,0.64537322,-0.63940159,4
117.37681944,31.96211355,41.70367345,-116.71743934,-45.98869952,41.70267345,18.71651669,1.08487078,-0.92709163,3.87821770,3.71966327,1.09821770,0.02567345,0.13075804,0.09116050,9.86543465,-0.23028955,0.55783246,-0.63889115,4
117.37681977,31.96211440,41.70214230,-116.62272706,-45.95662221,41.70114230,18.70388213,1.08890717,-0.90648378,3.87923993,3.72042885,1.09924139,0.02414668,0.08536316,0.15467676,9.79305962,-0.61191120,0.47104719,-0.63849461,4
117.37682011,31.96211525,41.70062168,-116.52800790,-45.92456621,41.69962168,18.69087458,1.08989174,-0.89008128,3.88034963,3.72118916,1.10044704,0.02291391,0.05870833,0.18297963,9.76068399,-0.71704332,0.43314905,-0.64547185,4
117.37682045,31.96211611,41.69911452,-116.43328163,-45.89253210,41.69811452,18.67752354,1.08697207,-0.87905869,3.88157122,3.72194273,1.10188548,0.02205727,0.05602793,0.16623332,9.77948037,-0.46845618,0.45779319,-0.66188263,4
117.37682079,31.96211696,41.69761112,-116.33854804,-45.86052041,41.69661112,18.66387542,1.08296301,-0.86953715,3.88282406,3.72269444,1.10338888,0.02130556,0.06003699,0.13691699,9.81255519,-0.12117053,0.49988843,-0.68092571,4
117.37682112,31.96211781,41.69611060,-116.24380697,-45.82853159,41.69511060,18.64999060,1.07905336,-0.85997775,3.88405466,3.72342535,1.10488494,0.02055233,0.06392432,0.10784568,9.84521563,0.22387264,0.54144042,-0.69987486,4
117.37682146,31.96211867,41.69479849,-116.14905827,-45.79656595,41.69379849,18.63593223,1.08162710,-0.84795844,3.88383507,3.72280122,1.10590162,0.01969932,0.05987344,0.09476601,9.85084167,0.42248691,0.54755341,-0.71268719,4
117.37682180,31.96211952,41.69372171,-116.05430184,-45.76462373,41.69272171,18.62175396,1.09229818,-0.83286696,3.88180428,3.72048470,1.10631957,0.01872171,0.04590825,0.10165903,9.82270333,0.43821863,0.50940515,-0.71783486,4
