longtitude,latitude,altitude,north,east,up,yaw,pitch,roll,vel_speed,vel_north,vel_east,vel_up,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rtk_status
117.37897637,31.96316005,41.57009005,-0.68125024,157.91891422,41.56809005,109.77962045,0.03090535,-0.15956863,3.62136020,-1.21136020,3.41257347,-0.00848342,0.16450230,0.14018034,9.62595811,0.99312077,0.81969645,-1.30044541,4
117.37897736,31.96315974,41.57075114,-0.71512692,158.01299083,41.56875114,109.82756225,0.05841037,-0.13876573,3.62406030,-1.21439464,3.41428067,-0.00975241,0.14420600,0.18833376,9.80016748,1.27121126,0.75542103,-1.27561266,4
117.37897836,31.96315943,41.57099867,-0.74908179,158.10703960,41.56899867,109.87470228,0.07268193,-0.12182116,3.62524401,-1.21674002,3.41474712,-0.01074579,0.11535880,0.20739975,9.94364908,0.86158305,0.67555780,-1.23988450,4
117.37897937,31.96315913,41.57100000,-0.78311345,158.20106096,41.56900000,109.92098077,0.07907570,-0.10717340,3.62552503,-1.21867522,3.41447497,-0.01157509,0.08142127,0.20915018,10.06883871,0.04256003,0.58641523,-1.19767037,4
117.37898036,31.96315883,41.57100000,-0.81722044,158.29505541,41.56900000,109.96633943,0.08542688,-0.09253806,3.62580116,-1.22060818,3.41419884,-0.01240351,0.04745627,0.21080701,10.19392935,-0.77867528,0.49722255,-1.15542121,4
117.37898135,31.96315853,41.57078303,-0.85140118,158.38902346,41.56878303,110.01072216,0.08267098,-0.08157777,3.62488420,-1.22221748,3.41272907,-0.01312419,0.02246429,0.17948517,10.17365398,-1.07602489,0.39189118,-1.14470282,4
117.37898234,31.96315821,41.57029112,-0.88565400,158.48296566,41.56829112,110.05407407,0.06837544,-0.07527417,3.62245544,-1.22341664,3.40974688,-0.01370839,0.00884217,0.10637582,9.96918411,-0.70955366,0.26611056,-1.17393738,4
117.37898333,31.96315789,41.56973786,-0.91997716,158.57688260,41.56773786,110.09633957,0.05150494,-0.07000974,3.61968933,-1.22452426,3.40642721,-0.01426214,-0.00224267,0.02394218,9.72361293,-0.19495414,0.13576766,-1.21208717,4
117.37898433,31.96315758,41.56925396,-0.95436882,158.67077490,41.56725396,110.13746228,0.03789663,-0.06558699,3.61720005,-1.22572459,3.40336101,-0.01472279,-0.00854956,-0.04560255,9.51096671,0.27169933,0.01984280,-1.24561630,4
117.37898532,31.96315727,41.56918682,-0.98882704,158.76464322,41.56718682,110.17738693,0.04388492,-0.06616673,3.61637730,-1.22748233,3.40182173,-0.01462759,0.01364778,-0.03774872,9.49657826,0.44687737,-0.00968754,-1.25122322,4
117.37898632,31.96315697,41.56946229,-1.02334979,158.85848826,41.56746229,110.21606257,0.06598336,-0.07085897,3.61692459,-1.22969834,3.40153771,-0.01407541,0.05927820,0.03373364,9.64517541,0.38243678,0.03180610,-1.23387560,4
117.37898731,31.96315666,41.56973959,-1.05793497,158.95231073,41.56773959,110.25344483,0.08816786,-0.07557317,3.61747920,-1.23191678,3.40126041,-0.01352080,0.10503371,0.10555594,9.79464345,0.31671521,0.07367933,-1.21640531,4
117.37898830,31.96315635,41.56993871,-1.09258043,159.04611138,41.56793871,110.28949548,0.10707686,-0.07684043,3.61850485,-1.23421552,3.40145345,-0.01327944,0.13310250,0.13791002,9.90431596,0.28623180,0.12813617,-1.18535222,4
117.37898929,31.96315603,41.56999967,-1.12728393,159.13989100,41.56799967,110.32417957,0.12019947,-0.07201842,3.62036262,-1.23665607,3.40247738,-0.01359147,0.12992629,0.10054041,9.94368663,0.31799933,0.20482297,-1.13030402,4
117.37899028,31.96315571,41.57000000,-1.16204319,159.23365037,41.56800000,110.35746215,0.13078190,-0.06452339,3.62258566,-1.23915887,3.40386604,-0.01414642,0.11303433,0.03256406,9.95219624,0.37709328,0.29126765,-1.06472294,4
117.37899127,31.96315539,41.57000000,-1.19685589,159.32739032,41.56800000,110.38930692,0.14135055,-0.05701408,3.62481064,-1.24166197,3.40525665,-0.01470266,0.09606886,-0.03557592,9.96053991,0.43633335,0.37776371,-0.99908605,4
