longtitude,latitude,altitude,north,east,up,yaw,pitch,roll,vel_speed,vel_north,vel_east,vel_up,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rtk_status
117.37722886,31.96319136,41.76900000,2.79988487,-7.36863245,41.76900000,10.33263588,-0.23900000,-0.12800000,0.19100000,0.18700000,0.04100000,-0.00100000,0.06100000,1.48100000,9.71600000,-0.14500000,0.24000000,-1.20100000,4
117.37722869,31.96319226,41.76573114,2.89852758,-7.35064798,41.76573114,10.44881781,-0.21677895,-0.11430277,0.29553665,0.28827054,0.06452252,-0.00100055,0.03562470,1.31621398,9.65665232,-0.08219945,0.14997964,-1.55934326,4
117.37722869,31.96319314,41.76184925,2.99706466,-7.33226950,41.76184925,10.67941961,-0.19318358,-0.11049765,0.39368195,0.38361146,0.08730019,-0.00121604,0.05297074,1.10655955,9.64289308,0.00741756,0.12106482,-1.75994954,4
117.37722872,31.96319405,41.75728029,3.09549781,-7.31350335,41.75728029,10.90641207,-0.16802784,-0.11761041,0.48451055,0.47215299,0.10920696,-0.00167059,0.11772576,0.84750393,9.68027530,0.12566071,0.16008988,-1.78494273,4
117.37722866,31.96319495,41.75240954,3.19382872,-7.29435588,41.75240954,11.12978165,-0.13966835,-0.10891885,0.55691441,0.54238294,0.12707157,-0.00199834,0.14463322,0.67025715,9.74023867,0.09001741,0.15882322,-1.88826322,4
117.37722864,31.96319585,41.74778264,3.29205909,-7.27483344,41.74778264,11.34951554,-0.11292737,-0.07183290,0.59975638,0.58310496,0.13867871,-0.00213360,0.09709285,0.67436495,9.81038558,-0.24847154,0.06160958,-2.12057092,4
117.37722891,31.96319673,41.74658411,3.39019062,-7.25494239,41.74658411,11.56560171,-0.11915281,-0.07276988,0.69831760,0.67878928,0.16334653,-0.00271175,0.12028839,0.59970823,9.72612766,-0.30396003,-0.01416361,-2.11605171,4
117.37722906,31.96319762,41.74561209,3.48822501,-7.23468908,41.74561209,11.77802883,-0.10759143,-0.05624689,0.75936663,0.73797771,0.17948234,-0.00339189,0.15298514,0.52369208,9.81084417,-0.09439898,0.11181027,-2.12172483,4
117.37722916,31.96319854,41.74488760,3.58616397,-7.21407985,41.74488760,11.98678626,-0.08325152,-0.02733475,0.79599966,0.77328137,0.19025283,-0.00411240,0.16397866,0.46895788,9.99798724,0.17788942,0.30603033,-2.09453365,4
117.37722946,31.96319940,41.74435894,3.68400917,-7.19312106,41.74435894,12.19186405,-0.07839264,-0.01838430,0.88111682,0.85533653,0.21270207,-0.00462905,0.07036384,0.49026700,9.93950148,-0.24414095,0.03124308,-1.90421365,4
117.37722974,31.96320027,41.74359196,3.78176234,-7.17181906,41.74359196,12.39325289,-0.07691234,-0.01478485,0.94433283,0.91615984,0.22957906,-0.00499436,0.01466685,0.53392739,9.81257511,-0.46459023,-0.21159618,-1.59755712,4
117.37722988,31.96320117,41.74228548,3.87942516,-7.15018019,41.74228548,12.59094409,-0.08223230,-0.02377226,0.95484489,0.92590713,0.23304085,-0.00498390,0.05538572,0.62920599,9.54648329,-0.17015815,-0.35441071,-1.03219103,4
117.37723015,31.96320204,41.74200417,3.97699933,-7.12821082,41.74200417,12.78492955,-0.07185272,-0.04073997,1.01461968,0.98360034,0.24835446,-0.00459572,0.11442972,0.72939278,9.68950989,0.15922367,-0.36654823,-0.86266835,4
117.37723049,31.96320290,41.74195374,4.07448655,-7.10591728,41.74195374,12.97520179,-0.05556318,-0.05933564,1.08570611,1.05231359,0.26639238,-0.00414926,0.17454006,0.82603678,9.92949670,0.48667396,-0.34437265,-0.80784352,4
117.37723071,31.96320379,41.74102891,4.17188853,-7.08330594,41.74102891,13.16175384,-0.00797655,-0.06918853,1.11712374,1.08263860,0.27488478,-0.00448157,0.16995335,0.83540359,9.91996188,0.63695742,-0.32537862,-0.89455458,4
117.37723092,31.96320467,41.73969861,4.26920695,-7.06038314,41.73969861,13.34457928,0.04189519,-0.07444025,1.14290863,1.10752036,0.28210613,-0.00499231,0.15340182,0.83077659,9.85233718,0.62876372,-0.25539508,-0.99356013,4
117.37723123,31.96320554,41.73786708,4.36644352,-7.03715522,41.73786708,13.52367222,0.04626582,-0.07180064,1.21258378,1.17491764,0.30032909,-0.00500000,0.19345723,0.91358059,9.94324514,0.11911929,0.08758661,-0.89948905,4
117.37723155,31.96320641,41.73607367,4.46359994,-7.01362856,41.73607367,13.69902722,0.04924603,-0.06650568,1.27966520,1.23977514,0.31790636,-0.00507137,0.22952471,0.98023201,10.01162002,-0.35803352,0.41793925,-0.80287059,4
117.37723175,31.96320730,41.73487285,4.56067790,-6.98980948,41.73487285,13.87063934,0.04308928,-0.02719399,1.30309256,1.26198316,0.32459731,-0.00610274,0.20009359,0.81397321,9.74813903,-0.29129530,0.51982370,-0.71078332,4
117.37723196,31.96320818,41.73327329,4.65767911,-6.96570435,41.73327329,14.03850406,0.04140864,0.01155355,1.32961598,1.28725826,0.33198780,-0.00717324,0.16368352,0.68295970,9.54600405,-0.11471668,0.55882778,-0.60412070,4
117.37723229,31.96320904,41.72980158,4.75460526,-6.94131951,41.72980158,14.20261730,0.06166569,0.03533932,1.38517467,1.34107546,0.34631847,-0.00804960,0.12266860,0.78442769,9.72121846,0.31507887,0.42211294,-0.43537678,4
117.37723260,31.96320991,41.72632873,4.85145805,-6.91666132,41.72632873,14.36297538,0.08259027,0.05716910,1.43713709,1.39141523,0.35974319,-0.00886092,0.07865746,0.87132911,9.89111927,0.67066215,0.26299692,-0.27741174,4
117.37723281,31.96321080,41.72309754,4.94823918,-6.89173612,41.72309754,14.51957498,0.10771561,0.05999464,1.44639907,1.40040174,0.36246258,-0.00899866,0.00294467,0.76941240,9.95210282,0.19214630,-0.11358631,-0.24398987,4
117.37723301,31.96321169,41.72001445,5.04495034,-6.86655028,41.72001445,14.67241316,0.13133298,0.05740149,1.45166895,1.40548813,0.36416091,-0.00900000,-0.06483098,0.64108188,9.97521949,-0.36706298,-0.48189767,-0.24513170,4
117.37723332,31.96321255,41.71788887,5.14159325,-6.84111012,41.71788887,14.82148733,0.13214317,0.03956484,1.50192657,1.45381401,0.37694273,-0.00900000,0.00627262,0.62672618,9.84506011,-0.07434289,-0.34450769,-0.33698445,4
117.37723367,31.96321341,41.71586114,5.23816959,-6.81542202,41.71586114,14.96679521,0.13233495,0.02179968,1.55332899,1.50323941,0.39002570,-0.00900000,0.08631233,0.62124869,9.71821666,0.24456261,-0.18447748,-0.42781548,4
117.37723396,31.96321428,41.71412669,5.33468107,-6.78949232,41.71412669,15.10833481,0.14243879,0.01540477,1.58445777,1.53317093,0.39830366,-0.00900000,0.15728218,0.62329746,9.73159798,0.22325766,-0.15578894,-0.44507719,4
117.37723417,31.96321516,41.71265348,5.43112938,-6.76332736,41.71265348,15.24610443,0.15980393,0.01909889,1.59957382,1.54772459,0.40279385,-0.00901829,0.21639347,0.62659255,9.86411968,-0.10109461,-0.23016294,-0.39551885,4
117.37723444,31.96321605,41.71116037,5.52751622,-6.73693350,41.71116037,15.38010266,0.16130426,0.02141148,1.63607339,1.58302032,0.41242458,-0.00921087,0.24087707,0.57777653,9.92941443,-0.39347333,-0.15860751,-0.34017933,4
117.37723479,31.96321691,41.70964412,5.62384329,-6.71031710,41.70964412,15.51032831,0.14585218,0.02217795,1.69546848,1.64052362,0.42755885,-0.00958897,0.22856395,0.47344395,9.92222058,-0.64955556,0.06914963,-0.27917564,4
117.37723511,31.96321777,41.70814471,5.72011229,-6.68348450,41.70814471,15.63678042,0.12976841,0.02535191,1.75031081,1.69360566,0.44155834,-0.01001562,0.20826835,0.37263710,9.90581383,-0.84998205,0.27370861,-0.22382847,4
117.37723537,31.96321864,41.70677624,5.81632492,-6.65644204,41.70677624,15.75945827,0.10941503,0.04749154,1.76853923,1.71113208,0.44644080,-0.01081619,0.12683585,0.30168542,9.82011832,-0.61540213,0.28993226,-0.21303380,4
117.37723560,31.96321953,41.70545581,5.91248288,-6.62919610,41.70545581,15.87836130,0.09033030,0.07250133,1.78016202,1.72224120,0.44969474,-0.01167188,0.03819711,0.24617298,9.72602760,-0.29722065,0.25382422,-0.21329105,4
117.37723590,31.96322038,41.70426666,6.00858786,-6.60175300,41.70426666,15.99348916,0.08982853,0.08371401,1.80987746,1.75089867,0.45758629,-0.01224410,0.01057813,0.25719318,9.69925465,-0.15201955,0.16216556,-0.21593742,4
117.37723624,31.96322124,41.70317352,6.10464157,-6.57411911,41.70317352,16.10484165,0.10291767,0.08482648,1.85284127,1.79240598,0.46887355,-0.01260883,0.02761475,0.31684719,9.72174711,-0.13355878,0.02999676,-0.22030589,4
117.37723658,31.96322210,41.70206223,6.20064570,-6.54630077,41.70206223,16.21241873,0.11470296,0.08468899,1.89185833,1.83011356,0.47915117,-0.01289313,0.04295802,0.35507678,9.74303437,-0.11986013,-0.11570813,-0.22789450,4
117.37723685,31.96322297,41.70081826,6.29660194,-6.51830434,41.70081826,16.31622050,0.11699900,0.07575747,1.90254218,1.84054229,0.48218096,-0.01260604,0.04560476,0.23957082,9.75505891,-0.13842569,-0.35780876,-0.25848460,4
117.37723711,31.96322385,41.69959535,6.39251201,-6.49013617,41.69959535,16.41624715,0.11781997,0.06449686,1.90859186,1.84650987,0.48401963,-0.01218478,0.04727570,0.09688528,9.76991580,-0.15251040,-0.59336991,-0.28800018,4
117.37723741,31.96322471,41.69879532,6.48837760,-6.46180260,41.69879532,16.51249902,0.12518740,0.05160791,1.93235754,1.86953881,0.49034523,-0.01179532,0.06567320,0.03387174,9.82528844,-0.06854025,-0.59087818,-0.26455988,4
117.37723778,31.96322556,41.69843928,6.58420041,-6.43330999,41.69843928,16.60497652,0.13942889,0.03701204,1.97472553,1.91048264,0.50138226,-0.01143935,0.10163236,0.05452159,9.92318880,0.11836289,-0.33844134,-0.18552274,4
117.37723815,31.96322641,41.69807913,6.67998213,-6.40466469,41.69807913,16.69368016,0.15315124,0.02590056,2.01478118,1.94916605,0.51179512,-0.01121581,0.13520560,0.07387261,10.00002836,0.26942464,-0.08372127,-0.11489590,4
117.37723846,31.96322728,41.69768951,6.77572447,-6.37587304,41.69768951,16.77861049,0.16320979,0.03949221,2.03848865,1.97186765,0.51779455,-0.01193147,0.15189830,0.08403568,9.92756910,0.16643689,0.18753932,-0.10383480,4
117.37723874,31.96322815,41.69729318,6.87142912,-6.34694141,41.69729318,16.85976816,0.17119832,0.06575070,2.05384923,1.98641236,0.52154722,-0.01312820,0.15842285,0.08849170,9.78060796,-0.06341111,0.45403950,-0.12403226,4
117.37723904,31.96322900,41.69700000,6.96709778,-6.31787614,41.69700000,16.93715385,0.17783491,0.08635673,2.07339274,2.00507965,0.52650474,-0.01410436,0.15143272,0.08360726,9.69143821,-0.19589778,0.56464571,-0.13879127,4
117.37723940,31.96322985,41.69699998,7.06273215,-6.28868358,41.69699998,17.01076826,0.18063038,0.09089876,2.10483640,2.03547519,0.53488970,-0.01445375,0.10601556,0.05216596,9.76654872,-0.05160818,0.23205689,-0.13809321,4
117.37723977,31.96323070,41.69698387,7.15833394,-6.25937007,41.69698387,17.08061214,0.18376230,0.09543219,2.13510723,2.06474076,0.54296408,-0.01480496,0.06364645,0.02407061,9.83433863,0.08555894,-0.07405627,-0.13805151,4
117.37724010,31.96323155,41.69682752,7.25390483,-6.22994199,41.69682752,17.14668625,0.18982969,0.09989738,2.15520742,2.08420742,0.54834499,-0.01517248,0.04776418,0.02507859,9.83846292,0.16089084,-0.15000885,-0.14372707,4
117.37724040,31.96323242,41.69643211,7.34944653,-6.20040566,41.69643211,17.20899136,0.20089959,0.10424755,2.15797730,2.08697722,0.54913634,-0.01556792,0.07702350,0.07569558,9.73408895,0.13080987,0.16628602,-0.15915198,4
