longtitude,latitude,altitude,north,east,up,yaw,pitch,roll,vel_speed,vel_north,vel_east,vel_up,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rtk_status
117.37999423,31.96259117,41.52309664,-63.75648038,254.14720785,41.51809664,-162.04785705,1.53459346,-0.79441594,3.71782248,-3.55500000,-1.08946743,0.02591912,-0.06157042,0.20463766,9.84620997,-0.91082694,0.68970891,1.22218387,4
117.37999390,31.96259032,41.52220728,-63.85162021,254.11644163,41.51720728,-162.11181479,1.50938679,-0.77105029,3.71709429,-3.55500000,-1.08719110,0.02430157,-0.10128922,0.25627115,9.74301375,-1.15055974,0.57585810,1.26307440,4
117.37999358,31.96258946,41.52200092,-63.94679420,254.08578149,41.51700092,-162.17557329,1.48100547,-0.75862286,3.71654663,-3.55500000,-1.08495878,0.02354756,-0.11826842,0.23965964,9.71888005,-1.21337962,0.52596215,1.26555616,4
117.37999329,31.96258859,41.52200000,-64.04200215,254.05522713,41.51700000,-162.23911968,1.45166919,-0.74948537,3.71605326,-3.55500000,-1.08273969,0.02305326,-0.12840810,0.20252141,9.71852663,-1.22298798,0.49530236,1.25648537,4
117.37999299,31.96258772,41.52200000,-64.13724381,254.02477822,41.51700000,-162.30243647,1.42232837,-0.74036260,3.71556014,-3.55500000,-1.08052063,0.02256014,-0.13851711,0.16529062,9.71828007,-1.23235732,0.46472872,1.24736260,4
117.37999269,31.96258687,41.52195864,-64.23251897,253.99443439,41.51695864,-162.36549289,1.39340336,-0.73109075,3.71487958,-3.55483459,-1.07827481,0.02204499,-0.14755796,0.12948787,9.71406285,-1.22545888,0.43268593,1.23691216,4
117.37999237,31.96258600,41.52155907,-64.32782736,253.96419520,41.51655907,-162.42824387,1.36808322,-0.72052851,3.71257535,-3.55323628,-1.07579742,0.02133906,-0.14734497,0.10605896,9.67545045,-1.07764237,0.38791971,1.21496200,4
117.37999204,31.96258514,41.52104982,-64.42316872,253.93406015,41.51604982,-162.49063782,1.34386654,-0.70957118,3.70977402,-3.55119929,-1.07324911,0.02057473,-0.14429893,0.08641814,9.62630781,-0.88668323,0.33925799,1.18949110,4
117.37999171,31.96258428,41.52054009,-64.51854274,253.90402861,41.51554009,-162.55262711,1.31965450,-0.69861204,3.70697052,-3.54916038,-1.07070047,0.01981014,-0.14124057,0.06679365,9.57711916,-0.69553560,0.29057907,1.16400475,4
117.37999138,31.96258342,41.51996530,-64.61394910,253.87409992,41.51496530,-162.61417629,1.29784164,-0.69157459,3.70462248,-3.54753898,-1.06830093,0.01932073,-0.13528387,0.05317026,9.55276211,-0.52570290,0.20071058,1.14173770,4
117.37999107,31.96258256,41.51907772,-64.70938748,253.84427335,41.51407772,-162.67526191,1.28756093,-0.70338688,3.70446365,-3.54792437,-1.06661803,0.02015400,-0.11539638,0.06839150,9.64775919,-0.45832464,-0.08713411,1.13494479,4
117.37999077,31.96258170,41.51809780,-64.80485753,253.81454813,41.51309780,-162.73586377,1.28068461,-0.72076402,3.70495110,-3.54890220,-1.06514670,0.02137775,-0.09139613,0.09212831,9.77799237,-0.42119202,-0.43342710,1.13272006,4
117.37999047,31.96258084,41.51711749,-64.90035891,253.78492348,41.51211749,-162.79595341,1.27382242,-0.73816457,3.70544126,-3.54988251,-1.06367623,0.02260314,-0.06737847,0.11590090,9.90837401,-0.38418520,-0.77996777,1.13051434,4
117.37999017,31.96257997,41.51611502,-64.99589126,253.75539853,41.51111502,-162.85548564,1.26688276,-0.75541985,3.70577753,-3.55071031,-1.06216282,0.02381256,-0.04562241,0.13867272,10.02763176,-0.35829239,-1.08082352,1.12504193,4
