longtitude,latitude,altitude,north,east,up,yaw,pitch,roll,vel_speed,vel_north,vel_east,vel_up,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rtk_status
117.37771670,31.96350247,41.623,37.292,38.841,41.623,106.021,-0.488,-0.352,0.131,0.034,-0.126,-0.000,0.062,-0.259,9.788,-0.237,-0.049,0.125,4
117.37771530,31.96350267,41.622,37.315,38.709,41.622,105.956,-0.511,-0.380,0.225,0.058,-0.217,-0.001,0.062,-0.722,9.732,0.001,-0.125,0.200,4
117.37771376,31.96350283,41.625,37.332,38.563,41.625,105.860,-0.521,-0.423,0.327,0.084,-0.316,-0.001,0.100,-0.947,9.765,0.027,0.100,0.287,4
117.37771237,31.96350291,41.625,37.341,38.432,41.625,105.796,-0.507,-0.413,0.415,0.106,-0.401,-0.001,0.108,-0.479,10.011,-0.160,0.125,0.387,4
117.37771058,31.96350312,41.625,37.364,38.262,41.625,105.696,-0.514,-0.433,0.529,0.135,-0.512,-0.002,0.032,-0.223,9.844,-0.134,-0.087,0.538,4
117.37770864,31.96350347,41.627,37.404,38.079,41.627,105.611,-0.498,-0.430,0.609,0.155,-0.589,-0.002,0.095,0.007,9.851,-0.122,0.313,0.449,4
117.37770745,31.96350379,41.628,37.439,37.967,41.628,105.558,-0.525,-0.400,0.674,0.171,-0.652,-0.002,0.032,-0.034,9.703,-0.559,0.252,0.575,4
117.37770626,31.96350405,41.629,37.468,37.854,41.629,105.492,-0.545,-0.384,0.724,0.183,-0.700,-0.002,0.011,0.044,9.848,0.178,0.323,0.537,4
117.37770517,31.96350435,41.628,37.501,37.751,41.628,105.442,-0.549,-0.367,0.765,0.192,-0.740,-0.002,0.031,0.104,9.866,-0.310,0.251,0.499,4
117.37770393,31.96350465,41.628,37.534,37.634,41.628,105.385,-0.615,-0.350,0.799,0.200,-0.774,-0.002,0.053,-0.030,9.773,-0.534,0.364,0.537,4
117.37770286,31.96350499,41.628,37.571,37.533,41.628,105.333,-0.660,-0.344,0.831,0.207,-0.805,-0.002,-0.003,-0.143,9.508,-0.396,0.001,0.575,4
117.37770164,31.96350532,41.628,37.609,37.417,41.628,105.271,-0.678,-0.362,0.864,0.215,-0.837,-0.002,-0.016,-0.187,9.912,-0.260,0.001,0.463,4
117.37770037,31.96350570,41.625,37.650,37.297,41.625,105.225,-0.721,-0.372,0.890,0.220,-0.862,-0.002,0.038,-0.217,9.800,-0.535,-0.135,0.301,4
117.37769927,31.96350599,41.624,37.683,37.193,41.624,105.190,-0.716,-0.400,0.907,0.224,-0.879,-0.003,0.032,-0.132,9.776,-0.022,-0.263,0.426,4
117.37769826,31.96350630,41.622,37.717,37.098,41.622,105.154,-0.718,-0.433,0.921,0.227,-0.893,-0.003,0.022,-0.014,9.695,-0.285,-0.336,0.326,4
