longtitude,latitude,altitude,north,east,up,yaw,pitch,roll,vel_speed,vel_north,vel_east,vel_up,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rtk_status
117.37813885,31.96338573,41.51100000,24.34563384,78.73294388,41.51000000,99.67388380,-7.16200000,1.81300000,0.34500000,-0.00600000,-0.34500000,0.01000000,0.02900000,0.03400000,9.81600000,-0.18700000,0.07600000,0.02500000,4
117.37813970,31.96338519,41.55078490,24.32880362,78.83167571,41.54978490,99.77440298,-7.36404333,1.81680429,0.25772079,-0.00410300,-0.25772079,0.00715484,0.02333369,0.04182806,9.80850527,-0.17556930,0.06357998,0.00146753,4
117.37814072,31.96338505,41.54265230,24.31163137,78.93032287,41.54165230,99.97417999,-7.64337768,1.83374313,0.12351328,-0.00161734,-0.12351328,0.00382083,0.04436643,0.32956904,9.90620273,-0.10482863,-0.05551244,0.17840963,4
117.37814178,31.96338511,41.53256862,24.29412167,79.02888645,41.53156862,100.17137739,-7.75876069,1.87524998,0.03745971,-0.00025557,-0.03718357,0.00076499,0.01273194,0.48968989,9.80280183,-0.33868027,0.21201840,0.10295857,4
117.37814284,31.96338507,41.53045329,24.27627906,79.12736752,41.52945329,100.36598713,-7.81068416,1.89170850,0.05503758,0.00127767,0.03287818,-0.00169914,0.01634997,0.46464286,9.75220368,-0.36563469,0.25958997,0.01463428,4
117.37814390,31.96338492,41.53099932,24.25810809,79.22576717,41.52999932,100.55800158,-7.85852221,1.89703969,0.10298786,0.00299136,0.10271237,-0.00399068,0.03790160,0.39380433,9.74212981,-0.28923585,0.18925034,-0.04927331,4
117.37814493,31.96338479,41.53167264,24.23961333,79.32408648,41.53067264,100.74741348,-7.87264382,1.90787450,0.16483842,0.00435723,0.16483842,-0.00603942,0.05605171,0.58374231,9.74314510,-0.31276863,0.12066156,-0.05907131,4
117.37814597,31.96338465,41.53137054,24.22079933,79.42232653,41.53037054,100.93421596,-7.89138582,1.91760146,0.21882446,0.00530202,0.21882446,-0.00792131,0.03364386,0.63240521,9.80418382,-0.28610049,0.01146150,-0.09758679,4
117.37814701,31.96338449,41.53023596,24.20167063,79.52048839,41.52923596,101.11840251,-7.91444797,1.92618378,0.26588484,0.00589131,0.26588484,-0.00965999,-0.02296469,0.55623531,9.91471357,-0.21529067,-0.13098377,-0.16207029,4
117.37814806,31.96338432,41.53000411,24.18223181,79.61857314,41.52900411,101.29996699,-7.93374779,1.92384978,0.31396819,0.00682183,0.31396819,-0.01122967,-0.01378560,0.47989780,9.83561196,-0.17118283,-0.11434912,-0.27716959,4
117.37814911,31.96338415,41.52999436,24.16248741,79.71658188,41.52899436,101.47890360,-7.95191903,1.91892796,0.36237563,0.00783134,0.36237563,-0.01276114,0.01178681,0.40405385,9.71130708,-0.13528228,-0.05685252,-0.40333976,4
117.37815014,31.96338395,41.52962855,24.14244198,79.81451567,41.52862855,101.65520689,-7.95865569,1.92173079,0.41293283,0.00836818,0.41293283,-0.01448090,0.03114608,0.33095440,9.72358135,-0.18866516,0.07636645,-0.43870521,4
117.37815117,31.96338377,41.52916333,24.12210008,79.91237560,41.52816333,101.82887171,-7.96275221,1.92627136,0.46358936,0.00880488,0.46358936,-0.01623014,0.04885203,0.25890762,9.76336743,-0.25204497,0.22183332,-0.45558570,4
117.37815222,31.96338364,41.52738783,24.10146627,80.01016274,41.52638783,101.99989324,-7.94963458,1.93932035,0.49748554,0.00900374,0.49748554,-0.01754313,0.04963140,0.21293580,9.79782720,0.06999214,0.22592795,-0.46354092,4
117.37815326,31.96338346,41.52677799,24.08054511,80.10787819,41.52577799,102.16826699,-7.93326040,1.94582443,0.53282088,0.00937660,0.53282088,-0.01874709,0.06312509,0.19636978,9.85254115,0.04782148,0.21979429,-0.49611548,4
117.37815429,31.96338324,41.52763618,24.05934113,80.20552301,41.52663618,102.33398873,-7.93195697,1.94401538,0.57776779,0.00998524,0.57776779,-0.02019336,0.09622090,0.16405388,9.90440916,-0.45858796,0.31702117,-0.54836431,4
117.37815532,31.96338309,41.52519464,24.03785891,80.30309829,41.52419464,102.49705452,-7.97487666,1.96603935,0.60113098,0.01000000,0.60113098,-0.02195788,0.10293231,-0.03852555,9.77998528,-0.30631195,0.52412659,-0.53992882,4
117.37815634,31.96338285,41.52762949,24.01610300,80.40060511,41.52662949,102.65746072,-7.94078569,1.96966898,0.64052908,0.00998678,0.64052908,-0.02331974,0.04401940,0.08344384,9.87138422,0.25375058,0.32418446,-0.55747224,4
117.37815737,31.96338263,41.52856302,23.99407794,80.49804454,41.52756302,102.81520394,-7.91533622,1.97203635,0.65810847,0.00955746,0.65810847,-0.02398375,-0.01414990,0.21159354,9.83655770,0.04027749,0.01300074,-0.65367072,4
117.37815840,31.96338245,41.52927109,23.97178830,80.59541768,41.52827109,102.97028103,-7.90496447,1.96540923,0.66338089,0.00901386,0.66338089,-0.02400000,-0.02692691,0.23486725,9.76228654,-0.34984188,-0.22818225,-0.86537286,4
117.37815942,31.96338217,41.53255254,23.94923863,80.69272559,41.53155254,103.12268911,-7.90035736,1.94290300,0.68594118,0.00894410,0.68594118,-0.02402795,0.04179621,0.08769025,9.85804232,0.29693136,-0.16063440,-1.14784197,4
117.37816045,31.96338197,41.53306409,23.92643348,80.78996937,41.53206409,103.27242552,-7.87378726,1.93626692,0.71332461,0.00751085,0.71332461,-0.02479962,0.14618358,0.27428054,9.94390641,-0.30579069,0.13394235,-1.15249436,4
117.37816147,31.96338175,41.53491675,23.90337741,80.88715008,41.53391675,103.41948783,-7.90934773,1.93334496,0.76057191,0.00700594,0.76057191,-0.02643928,0.16900671,0.21684936,9.86531001,-0.42392370,0.36640533,-0.99021809,4
117.37816251,31.96338151,41.53712865,23.88007498,80.98426881,41.53612865,103.56387383,-7.95461698,1.93758195,0.80877671,0.00681863,0.80877671,-0.02832320,0.13988359,0.11895939,9.75675001,-0.25133187,0.60390972,-0.83221210,4
117.37816355,31.96338135,41.53800231,23.85653074,81.08132664,41.53700231,103.70558152,-7.93610956,1.96469573,0.83051597,0.00605194,0.83051597,-0.02986897,0.05506255,0.31179806,9.79343656,-0.07796180,0.97652830,-0.88871067,4
117.37816457,31.96338112,41.53976784,23.83274924,81.17832465,41.53876784,103.84460907,-7.95314241,1.97898536,0.84588728,0.00537406,0.84588728,-0.03058200,-0.06569399,0.25206138,9.88359109,-0.35054012,0.81495373,-0.99305817,4
117.37816560,31.96338089,41.54032955,23.80873504,81.27526393,41.53932955,103.98095489,-7.97291886,1.98797567,0.84544989,0.00435775,0.84544989,-0.03066586,-0.11313219,0.17210912,9.88300126,-0.35732093,0.46279336,-1.03784259,4
117.37816663,31.96338071,41.53925785,23.78449269,81.37214554,41.53825785,104.11461751,-7.98268521,1.98746981,0.82633940,0.00292292,0.82633940,-0.03001728,-0.04745593,0.13885231,9.75533724,0.06621831,-0.02424179,-1.00373807,4
117.37816764,31.96338043,41.54047214,23.76002675,81.46897057,41.53947214,104.24559567,-7.94867230,1.96767988,0.83659119,0.00219609,0.83659119,-0.03002714,-0.02351564,0.28102114,9.76613595,0.11627761,-0.09611718,-1.09555149,4
117.37816867,31.96338021,41.54047908,23.73534177,81.56574010,41.53947908,104.37388827,-7.92446577,1.95842700,0.85203293,0.00093336,0.85203293,-0.03053634,0.05099239,0.21312609,9.83120253,-0.01506156,0.10272354,-1.21897325,4
117.37816969,31.96337998,41.54029169,23.71044232,81.66245521,41.53929169,104.49949433,-7.90699289,1.95312062,0.87460059,-0.00053532,0.87460059,-0.03126765,0.09704396,0.10192586,9.86980182,-0.15117529,0.25150496,-1.24082208,4
117.37817069,31.96337972,41.54080851,23.68533293,81.75911699,41.53980851,104.62241306,-7.89191344,1.94438739,0.90215893,-0.00184528,0.90215893,-0.03184655,0.05080011,0.11640776,9.82490400,-0.14858411,0.09873689,-1.09086149,4
117.37817173,31.96337952,41.53975454,23.66001817,81.85572650,41.53875454,104.74264378,-7.90369660,1.93839753,0.89900781,-0.00332438,0.89900781,-0.03134348,-0.05467986,0.19402764,9.79100329,-0.19039746,-0.04899588,-1.05015265,4
