longtitude,latitude,altitude,north,east,up,yaw,pitch,roll,vel_speed,vel_north,vel_east,vel_up,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,rtk_status
117.37810796,31.96338915,41.64300000,24.78033056,75.84250694,41.64300000,111.72827624,0.23500000,-0.04100000,0.16700000,-0.05000000,0.15900000,0.00000000,0.05200000,0.31300000,9.82300000,-0.18800000,0.27100000,-5.96300000,4
117.37810901,31.96338908,41.64588046,24.74329472,75.93544036,41.64516090,111.68006563,0.25731223,-0.01799096,0.22963035,-0.07303633,0.21731127,0.00000000,-0.01418350,0.03671011,9.85318629,-0.29011112,-0.00166762,-3.66882057,4
117.37811004,31.96338888,41.64955780,24.70641674,76.02843243,41.64855780,111.58387576,0.27316615,-0.02739554,0.28778783,-0.09428643,0.27173961,0.00000000,-0.02363928,-0.05409588,9.82617703,-0.25791335,-0.06352269,-2.46759846,4
117.37811105,31.96338860,41.65264549,24.66969588,76.12148276,41.65164549,111.48815251,0.28419607,-0.03822476,0.34227134,-0.11406926,0.32265748,0.00000000,-0.00897905,-0.02120199,9.80995950,-0.19477863,-0.02552633,-1.84015412,4
117.37811205,31.96338829,41.65409403,24.63313141,76.21459095,41.65309403,111.39289616,0.29375229,-0.02390610,0.39294938,-0.13241050,0.36966729,0.00000000,-0.01513724,0.02208699,9.85005060,-0.19646866,-0.03857395,-1.14875315,4
117.37811303,31.96338798,41.65484747,24.59672260,76.30775660,41.65384747,111.29810698,0.29984263,-0.02333808,0.42468376,-0.14374804,0.39913534,0.00000299,-0.04809132,0.08727496,9.81828947,-0.11233708,-0.06824948,-1.24184801,4
117.37811401,31.96338764,41.65500251,24.56046872,76.40097931,41.65400251,111.20378525,0.31419997,-0.06202732,0.44992510,-0.15356754,0.42266260,0.00062749,-0.01342266,0.18253279,9.78759044,-0.14833480,-0.29112032,-1.03359484,4
117.37811499,31.96338730,41.65543616,24.52436904,76.49425868,41.65443616,111.10993122,0.32592234,-0.10612365,0.47837543,-0.16451463,0.44907311,0.00100000,0.03902820,0.28843411,9.78393321,-0.17975645,-0.16298192,-0.79051082,4
117.37811599,31.96338699,41.65645601,24.48842282,76.58759432,41.65545601,111.01654511,0.33464794,-0.11963582,0.50875239,-0.17573615,0.47729636,0.00100000,0.05798762,0.40267219,9.81373051,-0.20704415,0.20253247,-0.55332589,4
117.37811699,31.96338670,41.65790146,24.45262933,76.68098582,41.65690146,110.92362717,0.34614458,-0.07412221,0.53348484,-0.18447028,0.50057108,0.00100000,0.00082529,0.52818821,9.86259032,-0.29577905,0.28118343,-0.24649421,4
117.37811800,31.96338643,41.65800000,24.41698785,76.77443278,41.65700000,110.83117761,0.33970537,-0.07309437,0.55277718,-0.19182996,0.51841191,0.00100000,-0.01001952,0.51037711,9.75622978,-0.28345105,0.03595120,-0.18192169,4
117.37811901,31.96338614,41.65799998,24.38149764,76.86793482,41.65699998,110.73919662,0.34945531,-0.08072651,0.58224682,-0.20243637,0.54583038,0.00099998,0.02671793,0.47037804,9.76998417,-0.17827892,-0.06014505,-0.07807370,4
117.37812001,31.96338586,41.65799312,24.34615797,76.96149151,41.65699312,110.64768441,0.37322467,-0.09216416,0.62039978,-0.21578509,0.58144761,0.00099310,0.09784384,0.42035070,9.88987560,-0.00833341,-0.01190940,0.07317910,4
117.37812103,31.96338558,41.65745550,24.31096811,77.05510248,41.65645550,110.55664116,0.36401405,-0.05210771,0.65536361,-0.22763774,0.61469924,0.00044778,0.00608012,0.34109904,9.82705319,-0.28825065,0.17375651,0.25603917,4
117.37812203,31.96338528,41.65759222,24.27592732,77.14876732,41.65659222,110.46606703,0.35254442,-0.01691758,0.69264727,-0.24014756,0.65005732,0.00000113,-0.06620305,0.28199921,9.76326752,-0.48013689,0.25102924,0.56042398,4
117.37812301,31.96338495,41.66040997,24.24103488,77.24248562,41.65940997,110.37596219,0.34259167,-0.01291949,0.73683791,-0.25439397,0.69159192,0.00008200,-0.03945667,0.29693211,9.72611628,-0.28761792,-0.05593089,1.21991898,4
117.37812400,31.96338465,41.66289438,24.20629006,77.33625700,41.66189438,110.28632678,0.37042977,-0.04270357,0.76623473,-0.26286405,0.71949579,0.00057887,0.00624264,0.26006012,9.74513975,-0.18241856,-0.01872999,1.18980359,4
117.37812500,31.96338435,41.66500000,24.17169211,77.43008105,41.66400000,110.19716095,0.39480232,-0.06617654,0.79610568,-0.27145876,0.74795981,0.00100000,0.04412474,0.22250848,9.76997143,-0.10182555,0.03927897,1.20669012,4
117.37812598,31.96338403,41.66499990,24.13724032,77.52395738,41.66399990,110.10846481,0.39990760,-0.05456340,0.82860760,-0.28074482,0.77953310,0.00099990,0.03854071,0.18118522,9.82706371,-0.15803572,0.21293955,1.48478802,4
117.37812697,31.96338373,41.66497956,24.10293396,77.61788558,41.66397956,110.02023850,0.40448379,-0.04204593,0.86057779,-0.28983881,0.81059391,0.00097974,0.03051864,0.14065633,9.87948284,-0.21909745,0.38525134,1.75307457,4
117.37812798,31.96338344,41.66401099,24.06877228,77.71186525,41.66301099,109.93248211,0.38466404,0.01168258,0.86826253,-0.29016096,0.81824471,0.00004692,-0.08914574,0.13639552,9.71899787,-0.49401525,0.48614120,1.57023521,4
117.37812897,31.96338310,41.66238687,24.03475455,77.80589600,41.66138687,109.84519575,0.36987448,0.02966454,0.89428344,-0.29713090,0.84350245,0.00000000,-0.14222185,0.10479532,9.74861923,-0.17206107,0.07645574,1.55265493,4
117.37812995,31.96338279,41.66124811,24.00088006,77.89997743,41.66024811,109.75837950,0.37569505,0.02118844,0.89941561,-0.29699231,0.84910920,0.00000007,-0.10316797,0.14906391,9.83453972,-0.31342152,-0.19706745,1.56661321,4
117.37813094,31.96338245,41.65981217,23.96714806,77.99410913,41.65881217,109.67203344,0.36300852,-0.00442747,0.92162713,-0.30246813,0.87046300,0.00001186,-0.07931702,0.10908328,9.74275978,-0.45122671,-0.28035847,1.48943373,4
117.37813193,31.96338212,41.65853118,23.93355782,78.08829072,41.65753118,109.58615764,0.35330732,-0.02914123,0.94246214,-0.30709004,0.89091288,0.00045974,-0.04959498,0.10808855,9.64132014,-0.37254936,-0.16660167,1.48953804,4
117.37813291,31.96338179,41.65765165,23.90010862,78.18252179,41.65665165,109.50075217,0.35627701,-0.04199158,0.95923353,-0.31038553,0.90789408,0.00100000,-0.03608590,0.14564054,9.74212195,-0.32001026,0.02150070,1.58320519,4
117.37813389,31.96338143,41.65665957,23.86679971,78.27680194,41.65565957,109.41581707,0.35459239,-0.04296858,0.98354099,-0.31665667,0.93154099,0.00100000,-0.07858250,0.09938741,9.91895715,-0.46316192,0.09615584,1.59234917,4
117.37813488,31.96338110,41.65527023,23.83363038,78.37113077,41.65427023,109.33135238,0.34374205,-0.03834777,0.98701045,-0.31513420,0.93501066,0.00100020,-0.08713411,0.03052175,9.59413988,-0.26804583,0.12166796,1.43205551,4
117.37813585,31.96338076,41.65859440,23.80059988,78.46550788,41.65759440,109.24735815,0.35274868,-0.04376007,0.99911802,-0.31668293,0.94714364,0.00102580,-0.09942950,0.10724074,9.73040925,-0.13980801,-0.07405057,1.37739187,4
117.37813684,31.96338044,41.66136785,23.76770750,78.55993288,41.66036785,109.16383440,0.35623084,-0.08511758,0.99923482,-0.31478816,0.94801665,0.00180389,-0.05359324,0.06004425,9.81987433,-0.24386359,-0.45079143,1.52802393,4
117.37813783,31.96338011,41.66267561,23.73495248,78.65440537,41.66167561,109.08078114,0.35329886,-0.11541826,1.01538078,-0.31797905,0.96438078,0.00263798,0.07455077,0.10966375,9.88252607,-0.33687132,-0.01137952,1.50959260,4
117.37813882,31.96337979,41.66353934,23.70233412,78.74892494,41.66253934,108.99819839,0.33963683,-0.09924463,1.03290535,-0.32112196,0.98190544,0.00244604,0.11772965,0.13060760,9.89962278,-0.40698899,0.43769403,1.48320576,4
117.37813981,31.96337947,41.66399991,23.66985166,78.84349120,41.66299991,108.91608614,0.31565416,-0.05445442,1.04777011,-0.32319514,0.99677954,0.00157970,0.04940143,0.16781035,9.81226393,-0.45739981,0.59805360,1.56337049,4
117.37814080,31.96337916,41.66398954,23.63750439,78.93810375,41.66298954,108.83444440,0.28536245,-0.01289772,1.05793467,-0.32391376,1.00720755,0.00073236,-0.02759812,0.23972670,9.72473733,-0.52004547,0.55449346,1.67689884,4
117.37814180,31.96337887,41.66368266,23.60529156,79.03276219,41.66268266,108.75327314,0.25805675,0.01292168,1.05515771,-0.32052341,1.00531657,0.00000039,-0.02912825,0.21857717,9.86695168,-0.53745522,0.23346028,1.66938970,4
117.37814279,31.96337855,41.66199378,23.57321246,79.12746612,41.66099378,108.67257234,0.26845018,0.00044200,1.05591884,-0.31793593,1.00694076,0.00003729,-0.05632032,0.21147485,10.02792194,0.02798389,-0.31598192,1.57586195,4
117.37814379,31.96337826,41.66114376,23.54126634,79.22221514,41.66014376,108.59234199,0.25964609,-0.04026023,1.05505187,-0.31549357,1.00694040,0.00088853,0.05972452,0.21913884,9.88879682,-0.72268017,-0.29766073,1.53351889,4
117.37814478,31.96337794,41.66179237,23.50945248,79.31700886,41.66079237,108.51258203,0.22881081,-0.05608509,1.07362734,-0.31875105,1.02562713,0.00099979,0.09220884,0.22651852,9.69804849,-0.47072253,0.02578959,1.57203148,4
117.37814578,31.96337764,41.66322666,23.47777015,79.41184687,41.66222666,108.43329244,0.23100166,-0.04334890,1.08960936,-0.32130253,1.04159039,0.00098092,0.02752528,0.32182136,9.67309097,-0.14717295,0.25784386,1.60478938,4
117.37814679,31.96337736,41.66443592,23.44621860,79.50672877,41.66343592,108.35447316,0.24261471,-0.01592106,1.10757037,-0.32413927,1.05914455,0.00056412,-0.06038450,0.39539946,9.76597529,-0.12773321,0.34809859,1.51806687,4
117.37814781,31.96337710,41.66500443,23.41479712,79.60165418,41.66400443,108.27612414,0.24594468,0.00788551,1.12235157,-0.32604286,1.07359306,0.00000000,-0.11316961,0.41250860,9.89370830,-0.26329786,0.25729309,1.32375645,4
117.37814882,31.96337686,41.66515087,23.38350498,79.69662267,41.66415087,108.19824530,0.24412330,0.01242505,1.11842613,-0.32329971,1.07042613,0.00000000,-0.10026738,0.41413144,9.99993382,-0.20977044,-0.10814299,1.12603872,4
117.37814983,31.96337659,41.66675551,23.35234143,79.79163387,41.66575551,108.12083660,0.22479736,-0.00369592,1.13311518,-0.32634991,1.08511491,0.00000027,0.01694462,0.23509020,9.78496032,-0.61141899,-0.05958722,1.14101347,4
117.37815086,31.96337635,41.66899811,23.32130574,79.88668737,41.66799811,108.04389794,0.21149736,-0.01284380,1.14407933,-0.32784191,1.09605831,0.00002102,0.02154755,0.21774003,9.68175491,-0.28253167,-0.05338800,1.24176253,4
117.37815187,31.96337609,41.67086431,23.29039720,79.98178276,41.66986431,107.96742926,0.21173510,-0.01536564,1.16546566,-0.33185748,1.11704414,0.00042152,0.00910934,0.26582858,9.78005033,-0.06405479,0.03960523,1.26281454,4
117.37815288,31.96337582,41.67216501,23.25961506,80.07691966,41.67116501,107.89143046,0.22278446,-0.01021199,1.19084303,-0.33700404,1.14200714,0.00083499,0.00258034,0.28284543,9.93775128,-0.10651469,0.21099316,1.22437583,4
117.37815391,31.96337557,41.67293637,23.22895860,80.17209766,41.67193637,107.81590146,0.23974827,0.01234479,1.19599028,-0.33729410,1.14786098,0.00006385,-0.03170407,0.11845350,9.79332343,-0.17386274,0.37472202,1.28220068,4
117.37815492,31.96337531,41.67362095,23.19842707,80.26731637,41.67262095,107.74084215,0.24155675,0.03516786,1.22224828,-0.34241090,1.17364348,-0.00060480,-0.05454732,0.14129281,9.78141904,-0.22031424,0.34492679,1.33156812,4
117.37815593,31.96337506,41.67431522,23.16801976,80.36257538,41.67331522,107.66625243,0.24416948,0.04897895,1.24065374,-0.34537407,1.19165374,-0.00099925,-0.07078038,0.14186894,9.78914467,-0.16740950,0.14315701,1.34644153,4
117.37815694,31.96337483,41.67499969,23.13773593,80.45787429,41.67399969,107.59213221,0.25197475,0.04781208,1.24331757,-0.34425460,1.19431757,-0.00095761,-0.07882816,0.06815572,9.79564607,0.01560907,-0.24974385,1.30669392,4
117.37815795,31.96337457,41.67497850,23.10757485,80.55321271,41.67397850,107.51149738,0.26670615,0.02979548,1.26342951,-0.34811920,1.21442946,-0.00031719,-0.07389217,0.04135043,9.79393757,-0.06852242,-0.21065924,1.21407271,4
117.37815898,31.96337431,41.67461667,23.07755950,80.64859608,41.67361667,107.42962436,0.27404600,0.01957016,1.27784149,-0.35042933,1.22883766,-0.00000383,-0.02113736,0.05075949,9.87045980,-0.16704631,-0.08231244,1.22638412,4
117.37815999,31.96337406,41.67409307,23.04767135,80.74401923,41.67309307,107.35345070,0.27511998,0.01991173,1.28973307,-0.35201978,1.24064072,-0.00009342,0.06319988,0.08119690,9.97199277,-0.25065318,0.15222284,1.34092214,4
117.37816100,31.96337379,41.67473482,23.01790981,80.83948180,41.67373482,107.27767348,0.28302759,0.04152000,1.32161922,-0.35882829,1.27193070,-0.00075808,0.04341625,0.01711663,9.73481078,-0.13977554,0.51311528,1.44055273,4
117.37816202,31.96337353,41.67539486,22.98827425,80.93498340,41.67439486,107.20233871,0.29440239,0.09013257,1.34159532,-0.36201345,1.29198749,-0.00179779,0.01453178,0.01139678,9.68141853,-0.05700365,0.89633788,1.36840307,4
117.37816304,31.96337328,41.67599965,22.95876394,81.03052365,41.67499965,107.12749271,0.30998759,0.16150576,1.35181671,-0.36236251,1.30274421,-0.00321855,-0.03162515,0.05037165,9.78752801,0.00545270,1.21787537,1.14839733,4
117.37816404,31.96337301,41.67597827,22.92937806,81.12610213,41.67497827,107.05317510,0.33504508,0.22447591,1.36679171,-0.36530619,1.31713047,-0.00504890,-0.15316816,0.03538863,9.88499508,0.08685810,0.84157744,0.95078403,4
117.37816506,31.96337276,41.67564279,22.90011575,81.22171841,41.67464279,106.97941772,0.34869385,0.25912500,1.37037144,-0.36521698,1.32072866,-0.00600000,-0.19967299,0.00388361,9.95154520,-0.12558763,0.37980966,0.84879494,4
117.37816608,31.96337251,41.67501250,22.87097609,81.31737206,41.67401250,106.90624820,0.34880531,0.26186340,1.36304926,-0.36223870,1.31403712,-0.00599964,-0.16125923,-0.04436848,9.96511257,-0.59082165,-0.13309203,0.83482059,4
117.37816708,31.96337222,41.67502098,22.84195813,81.41306264,41.67402098,106.83369267,0.33386843,0.24728103,1.37539282,-0.36466178,1.32639282,-0.00597902,-0.07206153,-0.07410004,9.71693820,-0.15783444,-0.07207397,0.61008302,4
117.37816808,31.96337195,41.67533109,22.81306086,81.50878968,41.67433109,106.76178152,0.34759018,0.23901193,1.38666874,-0.36666935,1.33766794,-0.00566891,-0.00381744,-0.04820808,9.63505752,0.22207897,0.02338322,0.43794402,4
117.37816910,31.96337169,41.67591513,22.78428321,81.60455272,41.67491513,106.69055235,0.39570492,0.23966691,1.39667534,-0.36822877,1.34763122,-0.00508421,0.03103681,0.04002011,9.77582580,0.46177051,0.13870613,0.34633934,4
117.37817010,31.96337140,41.67533732,22.75562405,81.70035128,41.67433732,106.62004321,0.42035838,0.24865813,1.41353985,-0.37237557,1.36391476,-0.00562508,-0.01424202,0.03852822,10.02216906,0.02040763,0.13646694,0.38269700,4
117.37817110,31.96337112,41.67441832,22.72708219,81.79618487,41.67341832,106.55029124,0.42889596,0.25836621,1.42458809,-0.37500080,1.37458809,-0.00600080,-0.07069259,-0.01726572,10.05013682,-0.29839834,0.16594919,0.39365260,4
117.37817212,31.96337086,41.67313660,22.69865635,81.89205297,41.67213660,106.48133992,0.41563200,0.26816370,1.42620805,-0.37504300,1.37620805,-0.00604265,-0.12883606,-0.12733031,9.74962446,-0.34444606,0.24446475,0.35201825,4
117.37817313,31.96337060,41.67241009,22.67034520,81.98795506,41.67141009,106.41323369,0.41069347,0.27578773,1.43134797,-0.37558991,1.38134797,-0.00657050,-0.09581788,0.01668892,9.70999813,-0.24008836,0.16215119,0.31390095,4
117.37817414,31.96337034,41.67199821,22.64214732,82.08389060,41.67099821,106.34600799,0.41153843,0.27655367,1.43559900,-0.37600179,1.38559900,-0.00670454,-0.05964579,0.09926112,9.76678641,-0.11676686,0.02256271,0.30928713,4
117.37817516,31.96337008,41.67190636,22.61406124,82.17985903,41.67090636,106.27969718,0.41944389,0.26547728,1.43739273,-0.37609396,1.38739241,-0.00601471,-0.04540036,-0.00329492,9.90477567,-0.03210310,-0.14506592,0.35308698,4
117.37817617,31.96336981,41.67074779,22.58608543,82.27585979,41.66974779,106.21433851,0.41471371,0.25629444,1.44267831,-0.37726956,1.39266097,-0.00600000,-0.02240662,-0.00952017,9.85474192,-0.27147747,0.02216503,0.24562153,4
117.37817718,31.96336955,41.66974101,22.55821830,82.37189230,41.66874101,106.14996408,0.40682106,0.25256715,1.44781468,-0.37851798,1.39755569,-0.00599912,-0.00865639,0.01763358,9.78872585,-0.40427502,0.11913612,0.15564224,4
117.37817820,31.96336928,41.66911151,22.53045820,82.46795597,41.66811151,106.08660396,0.39429877,0.25769498,1.45230686,-0.37977628,1.40141906,-0.00595471,-0.01755659,0.08532395,9.71369319,-0.30790122,0.04990542,0.11172504,4
117.37817921,31.96336903,41.66898111,22.50280344,82.56405020,41.66798111,106.02429216,0.39347176,0.24385986,1.45416743,-0.38000000,1.40318632,-0.00539739,-0.07968826,-0.07700821,9.80482321,-0.07466277,-0.22501775,0.14009195,4
117.37818022,31.96336878,41.66872561,22.47525225,82.66017439,41.66772561,105.96305861,0.40587260,0.22000137,1.45500759,-0.38000190,1.40428104,-0.00472561,-0.10655920,-0.16108338,9.89189994,0.13525961,-0.37940805,0.11397555,4
117.37818124,31.96336853,41.66809270,22.44780283,82.75632791,41.66709270,105.90293221,0.43440985,0.18749546,1.45539209,-0.38009824,1.40525111,-0.00409312,-0.04689835,-0.01821903,9.89901069,0.18458210,-0.22413622,-0.02961842,4
117.37818226,31.96336828,41.66800000,22.42045333,82.85251013,41.66700000,105.84394493,0.42332952,0.18040541,1.46020525,-0.38131239,1.40959334,-0.00402214,0.03063325,0.05713229,9.81999572,-0.50904063,0.05004969,-0.05492151,4
117.37818327,31.96336804,41.66800105,22.39320182,82.94872042,41.66700105,105.78612588,0.39580476,0.18457685,1.46733325,-0.38323762,1.41633325,-0.00431178,0.07550613,0.04468949,9.76552621,-0.88436884,0.27956773,-0.02045837,4
117.37818429,31.96336779,41.66805331,22.36604636,83.04495812,41.66705331,105.72950162,0.35732157,0.20137383,1.47596740,-0.38568237,1.42496740,-0.00504121,0.06416527,-0.05724491,9.76764130,-0.58994173,0.42992256,0.07079507,4
